"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL200828","SALT LAKE CITY","4","3","90D","200 W 400 S                                                                                             ","01/01/2008","DTN","112","01/01/2008","5404-0","TRAFFIC","1890050","884431"
"SL200839","SALT LAKE CITY","4","3","23F","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/01/2008","2305-0","LARCENY","1890717","885557"
"SL200811","SALT LAKE CITY","5","3","13B","1700 S 200 E                                                                                             ","01/01/2008","LIW","234","01/01/2008","1313-0","ASSAULT","1893380","874196"
"SL200814","SALT LAKE CITY","4","3","90D","900 S 600 W                                                                                             ","01/01/2008","PEF","114","01/01/2008","5404-0","TRAFFIC","1887064","880472"
"SL200860","SALT LAKE CITY","5","3","90Z","900 S 1200 E                                                                                            ","01/01/2008","EAC","232","01/01/2008","5401-0","TRAFFIC","1901385","880298"
"SL200886","SALT LAKE CITY","4","3","90D","200 S 300 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","5404-0","TRAFFIC","1889520","885315"
"SL200840","SALT LAKE CITY","4","3","220","700 E 800 S                                                                                             ","01/01/2008","EAC","215","01/01/2008","2202-0","BURGLARY","1897868","881174"
"SL200842","SALT LAKE CITY","1","3","290","700 N 900 W                                                                                             ","01/01/2008","ROP","131","01/01/2008","2902-1","DAMAGED PROP","1884800","893292"
"SL200859","SALT LAKE CITY","4","3","240","100 W 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","2499-13","STOLEN VEHICLE","1890645","885955"
"SL200879","SALT LAKE CITY","4","3","23F","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/01/2008","2305-0","LARCENY","1890717","885557"
"SL2008109","SALT LAKE CITY","5","3","35A","900 E LAIRD AVE                                                                                         ","01/01/2008","EAL","232","01/01/2008","3562-0","DRUGS","1899117","877869"
"SL200878","SALT LAKE CITY","4","3","13B","300 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","1313-0","ASSAULT","1891044","885178"
"SL200896","SALT LAKE CITY","4","3","240","600 W 100 S                                                                                             ","01/01/2008","DTN","112","01/01/2008","2499-13","STOLEN VEHICLE","1887097","886820"
"SL2008135","SALT LAKE CITY","4","3","13B","200 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","1313-0","ASSAULT","1891105","885480"
"SL2008145","SALT LAKE CITY","2","3","0","1400 S 700 W                                                                                             ","01/01/2008","WSL","153","01/01/2008","2499-14","STOLEN VEHICLE","1886239","876382"
"SL2008116","SALT LAKE CITY","2","3","520","1400 W WASATCH AVE                                                                                       ","01/01/2008","POP","151","01/01/2008","5213-19","WEAPON OFFENSE","1880358","881694"
"SL200898","SALT LAKE CITY","2","3","520","900 S CONCORD ST                                                                                        ","01/01/2008","POP","152","01/01/2008","5213-19","WEAPON OFFENSE","1881750","880461"
"SL2008152","SALT LAKE CITY","2","3","120","900 S 900 W                                                                                             ","01/01/2008","POP","152","01/01/2008","1202-0","ROBBERY","1884688","880448"
"SL2008128","SALT LAKE CITY","3","3","13A","100 N MEDICAL DR                                                                                        ","01/01/2008","AVE","213","01/01/2008","1304-0","ASSAULT","1905903","888374"
"SL2008142","SALT LAKE CITY","1","3","13B","500 N REDWOOD RD                                                                                        ","01/01/2008","JOM","132","01/01/2008","1313-0","ASSAULT","1878556","892421"
"SL2008125","SALT LAKE CITY","5","3","13B","1400 S WEST TEMPLE ST                                                                                    ","01/01/2008","PEF","231","01/01/2008","1313-0","ASSAULT","1891008","876217"
"SL2008209","SALT LAKE CITY","2","3","90D","300 S REDWOOD RD                                                                                        ","01/01/2008","POP","151","01/01/2008","5404-0","TRAFFIC","1878617","885227"
"SL2008215","SALT LAKE CITY","4","3","90Z","200 W 500 S                                                                                             ","01/01/2008","DTN","114","01/01/2008","3599-2","DRUGS","1890024","883640"
"SL2008122","SALT LAKE CITY","5","3","90Z","900 S 400 E                                                                                             ","01/01/2008","WEL","232","01/01/2008","4902-0","ESCAPE","1895050","880111"
"SL2008219","SALT LAKE CITY","4","3","23D","200 S 300 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","2308-0","LARCENY","1889520","885327"
"SL2008232","SALT LAKE CITY","4","3","0","400 S 500 E                                                                                             ","01/01/2008","CEC","214","01/01/2008","5499-6","TRAFFIC","1895797","884204"
"SL2008256","SALT LAKE CITY","1","3","0","700 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2008","WES","133","01/01/2008","7399-1","PUBLIC ORDER","1867065","893716"
"SL2008234","SALT LAKE CITY","1","3","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/01/2008","WES","133","01/01/2008","7399-1","PUBLIC ORDER","1866562","893915"
"SL2008262","SALT LAKE CITY","7","3","0","2700 S 900 E                                                                                             ","01/01/2008","SUG","235","01/01/2008","5499-7","TRAFFIC","1898881","866872"
"SL2008270","SALT LAKE CITY",,"3","35B",,"01/01/2008","40","40","01/01/2008","3550-0","DRUGS","1867367","893605"
"SL20085344","MAGNA",,"5","90Z",,"01/10/2008","11","11","01/10/2008","3599-99","DRUGS","1826034","884694"
"SL2008252","SALT LAKE CITY","4","3","520","400 S 500 E                                                                                             ","01/01/2008","CEC","214","01/01/2008","5202-0","WEAPON OFFENSE","1895798","884356"
"SL2008250","SALT LAKE CITY","2","3","220","100 S 900 W                                                                                             ","01/01/2008","POP","151","01/01/2008","2203-0","BURGLARY","1884711","886134"
"SL2008231","SALT LAKE CITY","6","3","290","2800 E ST MARYS WAY                                                                                      ","01/01/2008","OAH","233","01/01/2008","2902-1","DAMAGED PROP","1914368","877749"
"SL2008292","SALT LAKE CITY","2","3","0","1100 S SANTA YNEZ CIR                                                                                    ","01/01/2008","WSL","152","01/01/2008","7399-40","PUBLIC ORDER","1883522","877941"
"SL2008207","SALT LAKE CITY","1","3","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/01/2008","WES","133","01/01/2008","7399-1","PUBLIC ORDER","1866562","893915"
"SL2008282","SALT LAKE CITY","7","3","23F","2900 S HIGHLAND DR                                                                                       ","01/01/2008","SUG","235","01/01/2008","2305-0","LARCENY","1902139","865082"
"SL2008258","SALT LAKE CITY","2","3","90G","1000 W SOUTH TEMPLE ST                                                                                   ","01/01/2008","POP","132","01/01/2008","4104-0","LIQUOR","1883973","887625"
"SL2008254","SALT LAKE CITY","2","3","35A","1000 W SOUTH TEMPLE ST                                                                                   ","01/01/2008","POP","132","01/01/2008","3562-0","DRUGS","1883973","887625"
"SL2008224","SALT LAKE CITY","4","3","0","200 S RIO GRANDE ST                                                                                     ","01/01/2008","DTN","112","01/01/2008","7399-7","PUBLIC ORDER","1888238","885862"
"SL2008217","SALT LAKE CITY","4","3","23F","200 W SOUTH TEMPLE ST                                                                                   ","01/01/2008","DTN","112","01/01/2008","2305-0","LARCENY","1890161","887540"
"SL2008213","SALT LAKE CITY","4","3","290","200 W 300 S                                                                                             ","01/01/2008","DTN","112","01/01/2008","2902-1","DAMAGED PROP","1889747","885225"
"SL2008329","SALT LAKE CITY","4","3","13B","100 S 700 E                                                                                             ","01/01/2008","CEC","212","01/01/2008","1313-0","ASSAULT","1897391","886315"
"SL2008208","SALT LAKE CITY","4","3","90Z","700 S GUDGELL CT                                                                                        ","01/01/2008","CEC","214","01/01/2008","4902-0","ESCAPE","1895537","881736"
"SL2008334","SALT LAKE CITY","5","3","13B","1800 S MAIN ST                                                                                           ","01/01/2008","PEF","234","01/01/2008","1313-0","ASSAULT","1891793","873500"
"SL200832","SALT LAKE CITY","5","3","13C","900 S 400 E                                                                                             ","01/01/2008","WEL","232","01/01/2008","1316-2","ASSAULT","1895050","880111"
"SL200861","SALT LAKE CITY","6","3","90G","2300 E BLAINE AVE                                                                                        ","01/01/2008","SUG","236","01/01/2008","4104-0","LIQUOR","1910479","874020"
"SL200876","SALT LAKE CITY","2","3","0","600 S REDWOOD RD                                                                                        ","01/01/2008","POP","151","01/01/2008","7399-1","PUBLIC ORDER","1878609","882808"
"SL2008106","SALT LAKE CITY","2","3","23C","1600 S REDWOOD RD                                                                                        ","01/01/2008","WSL","154","01/01/2008","2303-0","LARCENY","1878521","874511"
"SL2008184","SALT LAKE CITY","4","3","0","800 S STATE ST                                                                                          ","01/01/2008","PEF","115","01/01/2008","7399-1","PUBLIC ORDER","1892615","881206"
"SL2008178","SALT LAKE CITY","1","3","90Z","700 N 900 W                                                                                             ","01/01/2008","ROP","131","01/01/2008","4902-0","ESCAPE","1884800","893292"
"SL2008172","SALT LAKE CITY","2","3","0","1400 W PACIFIC AVE                                                                                       ","01/01/2008","POP","151","01/01/2008","5299-10","WEAPON OFFENSE","1880241","884074"
"SL2008404","SALT LAKE CITY","4","3","0","400 S 200 W                                                                                             ","01/01/2008","DTN","114","01/01/2008","5499-6","TRAFFIC","1890247","883997"
"SL2008162","SALT LAKE CITY","3","3","13B","200 N J ST                                                                                              ","01/01/2008","AVE","211","01/01/2008","1313-0","ASSAULT","1897680","889840"
"SL2008396","SALT LAKE CITY","2","3","0","800 W 1700 S                                                                                            ","01/01/2008","WSL","153","01/01/2008","5499-5","TRAFFIC","1885158","874564"
"SL2008391","SALT LAKE CITY",,"3","0",,"01/01/2008","40","40","01/01/2008","7399-1","PUBLIC ORDER","1867847","894419"
"SL2008146","SALT LAKE CITY","1","3","13B","1700 W 400 N                                                                                             ","01/01/2008","JOM","133","01/01/2008","1313-0","ASSAULT","1878167","890863"
"SL2008120","SALT LAKE CITY","2","3","13C","1500 S 1000 W                                                                                            ","01/01/2008","WSL","153","01/01/2008","1316-2","ASSAULT","1884089","875734"
"SL2008385","SALT LAKE CITY","5","3","13B","1400 S 1300 E                                                                                            ","01/01/2008","WAH","233","01/01/2008","1313-0","ASSAULT","1902166","875983"
"SL2008314","SALT LAKE CITY","4","3","290","700 S 200 E                                                                                             ","01/01/2008","CEC","115","01/01/2008","2903-0","DAMAGED PROP","1893469","881672"
"SL2008115","SALT LAKE CITY","5","3","90Z","900 S 1100 E                                                                                            ","01/01/2008","EAC","232","01/01/2008","4902-0","ESCAPE","1900569","880402"
"SL2008424","SALT LAKE CITY","4","3","0","500 S 200 W                                                                                             ","01/01/2008","PEF","115","01/01/2008","5499-12","TRAFFIC","1890303","882919"
"SL2008384","SALT LAKE CITY","6","3","0","2000 E 1300 S                                                                                            ","01/01/2008","BOH","233","01/01/2008","7399-25","PUBLIC ORDER","1908104","877375"
"SL2008438","SALT LAKE CITY",,"3","0",,"01/01/2008","40","40","01/01/2008","7399-6","PUBLIC ORDER","1867847","894419"
"SL2008417","SALT LAKE CITY","1","3","520","1200 N REDWOOD RD                                                                                        ","01/01/2008","WES","131","01/01/2008","5202-0","WEAPON OFFENSE","1878581","897795"
"SL2008436","SALT LAKE CITY","6","3","90I","1600 E 2100 S                                                                                            ","01/01/2008","SUG","236","01/01/2008","5324-0","PUBLIC PEACE","1905165","871570"
"SL2008164","SALT LAKE CITY","7","3","23F","1100 E 1700 S                                                                                            ","01/01/2008","SUG","236","01/01/2008","2305-0","LARCENY","1900570","874439"
"SL2008418","SALT LAKE CITY","1","3","0","700 N REDWOOD RD                                                                                        ","01/01/2008","WES","131","01/01/2008","5499-8","TRAFFIC","1878507","893946"
"SL2008318","SALT LAKE CITY","3","3","0","400 N 200 W                                                                                             ","01/01/2008","CAH","111","01/01/2008","7399-7","PUBLIC ORDER","1890276","891144"
"SL2008335","SALT LAKE CITY","1","3","23F","400 N REDWOOD RD                                                                                        ","01/01/2008","JOM","133","01/01/2008","2305-0","LARCENY","1878488","891407"
"SL2008442","SALT LAKE CITY","4","3","23B","200 S RIO GRANDE ST                                                                                     ","01/01/2008","DTN","112","01/01/2008","2302-0","LARCENY","1888238","885862"
"SL2008358","SALT LAKE CITY","4","3","23H","200 S RIO GRANDE ST                                                                                     ","01/01/2008","DTN","112","01/01/2008","2399-0","LARCENY","1888238","885862"
"SL2008375","SALT LAKE CITY","2","3","290","500 N DEXTER ST                                                                                         ","01/01/2008","STF","132","01/01/2008","2902-0","DAMAGED PROP","1885133","891970"
"SL2008398","SALT LAKE CITY","4","3","0","000 E 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","7399-6","PUBLIC ORDER","1892196","885949"
"SL2008420","SALT LAKE CITY","2","3","220","1700 S 4130 W                                                                                            ","01/01/2008","WSL","154","01/01/2008","2203-0","BURGLARY","1864463","874020"
"SL2008431","SALT LAKE CITY","7","3","220","2100 S HANNIBAL ST                                                                                       ","01/01/2008","SUG","236","01/01/2008","2204-0","BURGLARY","1905810","871202"
"SL2008441","SALT LAKE CITY","4","3","23C","700 S STATE ST                                                                                          ","01/01/2008","PEF","115","01/01/2008","2303-0","LARCENY","1892617","881581"
"SL2008440","SALT LAKE CITY","4","3","220","800 E 500 S                                                                                             ","01/01/2008","EAC","215","01/01/2008","2204-0","BURGLARY","1898293","883549"
"SL2008445","SALT LAKE CITY","4","3","0","100 S 300 E                                                                                             ","01/01/2008","CEC","113","01/01/2008","5499-7","TRAFFIC","1894220","886074"
"SL200887","SALT LAKE CITY","4","3","0","100 S 600 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","7399-1","PUBLIC ORDER","1887090","886721"
"SL2008414","SALT LAKE CITY","3","3","0","600 E 3RD AVE                                                                                           ","01/01/2008","AVE","211","01/01/2008","5399-28","PUBLIC PEACE","1897548","888780"
"SL2008388","SALT LAKE CITY","7","3","26B","2200 S 1300 E                                                                                            ","01/01/2008","SUG","236","01/01/2008","2605-0","FRAUD","1902126","870438"
"SL2008541","SALT LAKE CITY","1","3","0","900 N 900 W                                                                                             ","01/01/2008","ROP","131","01/01/2008","5499-5","TRAFFIC","1884808","895132"
"SL2008477","SALT LAKE CITY","4","3","23F","700 E 200 S                                                                                             ","01/01/2008","EAC","213","01/01/2008","2305-0","LARCENY","1898022","885986"
"SL2008512","SALT LAKE CITY","7","3","23F","1100 E 1700 S                                                                                            ","01/01/2008","SUG","236","01/01/2008","2305-0","LARCENY","1900570","874439"
"SL2008535","SALT LAKE CITY","1","3","90Z",,"01/01/2008","JOM","133","01/01/2008","4902-0","ESCAPE","1866905","891511"
"SL2008530","SALT LAKE CITY","4","3","250","000 E 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","2505-0","FORGERY","1892440","886008"
"SL2008517","SALT LAKE CITY","4","3","250","400 S 500 E                                                                                             ","01/01/2008","CEC","214","01/01/2008","2501-0","FORGERY","1895856","883946"
"SL2008542","SALT LAKE CITY","4","3","35B","000 E 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","3550-0","DRUGS","1892440","886008"
"SL2008553","SALT LAKE CITY","4","3","90Z","000 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","4902-0","ESCAPE","1891111","886981"
"SL2008560","SALT LAKE CITY","4","3","35A","000 W 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","3532-0","DRUGS","1891474","886011"
"SL2008561","SALT LAKE CITY","6","3","23D","2400 E 2100 S                                                                                            ","01/01/2008","SUG","236","01/01/2008","2308-0","LARCENY","1911618","871634"
"SL2008510","SALT LAKE CITY","5","3","23B","300 W HOPE AVE                                                                                          ","01/01/2008","PEF","231","01/01/2008","2302-0","LARCENY","1889051","876511"
"SL2008534","SALT LAKE CITY","4","3","0","200 S 300 E                                                                                             ","01/01/2008","CEC","113","01/01/2008","7399-6","PUBLIC ORDER","1894219","885947"
"SL2008569","SALT LAKE CITY","5","3","0","1100 S MAIN ST                                                                                           ","01/01/2008","PEF","231","01/01/2008","5499-12","TRAFFIC","1891813","878714"
"SL2008558","SALT LAKE CITY","1","3","90Z","600 N 1500 W                                                                                            ","01/01/2008","STF","132","01/01/2008","5401-0","TRAFFIC","1880168","892340"
"SL2008557","SALT LAKE CITY","7","3","13B","2800 S 2000 E                                                                                            ","01/01/2008","SUG","236","01/01/2008","1313-0","ASSAULT","1907560","865906"
"SL2008571","SALT LAKE CITY","4","3","90Z","000 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","4902-7","ESCAPE","1891111","886981"
"SL2008355","SALT LAKE CITY","5","3","0","900 S WEST TEMPLE ST                                                                                    ","01/01/2008","PEF","115","01/01/2008","5499-8","TRAFFIC","1891025","880416"
"SL2008504","SALT LAKE CITY","5","3","0","900 E 1300 S                                                                                            ","01/01/2008","EAC","232","01/01/2008","5499-8","TRAFFIC","1898981","877405"
"SL2008572","SALT LAKE CITY","4","3","0","100 E 300 S                                                                                             ","01/01/2008","CEC","113","01/01/2008","7399-0","PUBLIC ORDER","1892778","885213"
"SL2008570","SALT LAKE CITY","7","3","0","2000 S 1200 E                                                                                            ","01/01/2008","SUG","236","01/02/2008","7399-3","PUBLIC ORDER","1901360","871889"
"SL2008448","SALT LAKE CITY","4","3","90Z","100 W 600 S                                                                                             ","01/01/2008","PEF","115","01/01/2008","4902-0","ESCAPE","1890463","882846"
"SL2008509","SALT LAKE CITY","2","3","90J","100 S RIO GRANDE ST                                                                                     ","01/01/2008","PEF","112","01/01/2008","5707-0","INV OF PRIVACY","1888267","865696"
"SL2008465","SALT LAKE CITY","1","3","35A","1200 N REDWOOD RD                                                                                        ","01/01/2008","WES","131","01/01/2008","3562-0","DRUGS","1878581","897795"
"SL2008189","SALT LAKE CITY","2","3","90Z","600 S 800 W                                                                                             ","01/01/2008","POP","151","01/01/2008","4902-0","ESCAPE","1885487","882168"
"SL200895","SALT LAKE CITY","4","3","13B","100 W 600 S                                                                                             ","01/01/2008","PEF","115","01/01/2008","1313-0","ASSAULT","1890585","882786"
"SL2008114","SALT LAKE CITY","3","3","120","000 N 400 W                                                                                             ","01/01/2008","CAH","112","01/01/2008","1201-0","ROBBERY","1888709","887977"
"SL200816","SALT LAKE CITY","4","3","13B","200 S 200 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","1313-0","ASSAULT","1890255","885974"
"SL2008621","SALT LAKE CITY","7","3","240","1200 E HUDSON AVE                                                                                        ","01/01/2008","SUG","235","01/02/2008","2499-13","STOLEN VEHICLE","1901847","864874"
"SL200846","SALT LAKE CITY","4","3","290","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/01/2008","2902-0","DAMAGED PROP","1890717","885557"
"SL200873","SALT LAKE CITY","4","3","13B","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/01/2008","1313-0","ASSAULT","1890717","885557"
"SL200891","SALT LAKE CITY","4","3","220","700 E 700 S                                                                                             ","01/01/2008","EAC","215","01/01/2008","2204-0","BURGLARY","1897690","881966"
"SL2008634","SALT LAKE CITY","5","3","23D","1800 S EDISON ST                                                                                         ","01/01/2008","LIW","234","01/02/2008","2308-0","LARCENY","1893025","872985"
"SL2008198","SALT LAKE CITY","4","3","0","600 S 200 W                                                                                             ","01/01/2008","PEF","114","01/01/2008","7399-1","PUBLIC ORDER","1890242","882671"
"SL2008657","SALT LAKE CITY","4","3","0","000 S RIO GRANDE ST                                                                                     ","01/01/2008","DTN","112","01/02/2008","7399-6","PUBLIC ORDER","1888237","887060"
"SL2008264","SALT LAKE CITY","1","3","90I","1700 W NORTH TEMPLE ST                                                                                   ","01/01/2008","JOM","133","01/01/2008","5324-0","PUBLIC PEACE","1878304","888449"
"SL2008190","SALT LAKE CITY","4","3","90C","1000 E SOUTH TEMPLE ST                                                                                   ","01/01/2008","EAC","213","01/01/2008","5399-12","PUBLIC PEACE","1900209","887500"
"SL2008683","SALT LAKE CITY","4","3","13C","000 S 400 E                                                                                             ","01/01/2008","CEC","212","01/02/2008","1316-3","ASSAULT","1895077","887102"
"SL2008704","SALT LAKE CITY","6","3","23D","900 S MILITARY DR                                                                                       ","01/01/2008","YAL","233","01/02/2008","2308-0","LARCENY","1905133","879537"
"SL2008711","SALT LAKE CITY","7","3","23F","1100 E ASHTON AVE                                                                                        ","01/01/2008","SUG","235","01/02/2008","2305-0","LARCENY","1900708","869772"
"SL2008637","SALT LAKE CITY","2","3","220","1100 S 500 W                                                                                             ","01/01/2008","WSL","152","01/02/2008","2203-0","BURGLARY","1887909","878514"
"SL2008412","SALT LAKE CITY","7","3","0","700 E DOWNINGTON AVE                                                                                    ","01/01/2008","SUG","235","01/01/2008","5399-28","PUBLIC PEACE","1897375","873270"
"SL2008807","SALT LAKE CITY","2","3","0","1500 S 1000 W                                                                                            ","01/01/2008","WSL","153","01/02/2008","5399-28","PUBLIC PEACE","1884029","875734"
"SL2008771","SALT LAKE CITY","4","3","290","300 E SOUTH TEMPLE ST                                                                                   ","01/01/2008","CEC","212","01/02/2008","2902-1","DAMAGED PROP","1894461","887523"
"SL2008932","MAGNA",,"4","35A",,"01/02/2008","11","11","01/02/2008","3530-0","DRUGS","1826034","884694"
"SL2008212","SALT LAKE CITY","1","3","0","700 N RIVERSIDE DR                                                                                      ","01/01/2008","ROP","131","01/01/2008","5499-8","TRAFFIC","1879318","893124"
"SL200863","SALT LAKE CITY","4","3","0","100 W 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","5499-8","TRAFFIC","1890645","885955"
"SL2008930","SALT LAKE CITY","2","3","23H","1300 S REDWOOD DR                                                                                        ","01/01/2008","WSL","152","01/02/2008","2399-0","LARCENY","1880380","877444"
"SL2008132","SALT LAKE CITY","4","3","0","600 S 200 W                                                                                             ","01/01/2008","PEF","114","01/01/2008","5499-7","TRAFFIC","1890242","882793"
"SL2008654","SALT LAKE CITY","4","3","240","000 S 900 E                                                                                             ","01/01/2008","EAC","213","01/02/2008","2499-13","STOLEN VEHICLE","1898981","887217"
"SL20081551","SALT LAKE CITY","5","3","0","300 W HOPE AVE                                                                                          ","01/01/2008","PEF","231","01/03/2008","7399-6","PUBLIC ORDER","1889051","876511"
"SL2008390","SALT LAKE CITY","5","3","90E","300 W 2100 S                                                                                            ","01/01/2008","PEF","234","01/01/2008","7399-26","PUBLIC ORDER","1889068","871605"
"SL2008156","SALT LAKE CITY","1","3","0","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2008","JOM","133","01/01/2008","7399-5","PUBLIC ORDER","1866905","891511"
"SL2008405","SALT LAKE CITY","1","3","0","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2008","JOM","133","01/01/2008","7399-1","PUBLIC ORDER","1866905","891511"
"SL20082991","SALT LAKE CITY","4","3","23F","100 W PIERPONT AVE                                                                                      ","01/01/2008","DTN","113","01/05/2008","2305-0","LARCENY","1890799","885617"
"SL20084334","SALT LAKE CITY",,"3","0",,"01/01/2008","40","40","01/07/2008","7399-6","PUBLIC ORDER","1867367","893605"
"SL2008203","SALT LAKE CITY","7","3","290","2100 S 1000 E                                                                                            ","01/01/2008","SUG","235","01/01/2008","2902-0","DAMAGED PROP","1899649","870755"
"SL20085622","SALT LAKE CITY","7","3","23F","1700 E ATKIN AVE                                                                                         ","01/01/2008","SUG","236","01/09/2008","2305-0","LARCENY","1905309","865975"
"SL20085788","SALT LAKE CITY","5","3","23D","1100 E 1700 S                                                                                            ","01/01/2008","EAC","232","01/09/2008","2308-0","LARCENY","1900834","874498"
"SL20089075","SALT LAKE CITY","4","3","23B","100 S 200 W                                                                                             ","01/01/2008","DTN","112","01/14/2008","2302-0","LARCENY","1890257","886593"
"SL200811396","SALT LAKE CITY","5","3","23D","100 E KELSEY AVE                                                                                        ","01/01/2008","WEL","231","01/17/2008","2308-0","LARCENY","1893280","878176"
"SL200811495","SALT LAKE CITY","4","3","23H","200 S RIO GRANDE ST                                                                                     ","01/01/2008","DTN","112","01/17/2008","2399-0","LARCENY","1888238","885862"
"SL200824","SALT LAKE CITY","4","3","290","200 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","2902-0","DAMAGED PROP","1891045","885510"
"SL200834","SALT LAKE CITY","4","3","290","200 S 200 W                                                                                             ","01/01/2008","DTN","112","01/01/2008","2902-0","DAMAGED PROP","1890253","885513"
"SL200836","SALT LAKE CITY","4","3","0","100 W 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","7399-99","PUBLIC ORDER","1890645","885955"
"SL2008309","SALT LAKE CITY","2","3","290","200 S FOSS ST                                                                                           ","01/01/2008","POP","151","01/01/2008","2902-0","DAMAGED PROP","1879782","885865"
"SL200866","SALT LAKE CITY","4","3","23H","300 S WEST TEMPLE ST                                                                                    ","01/01/2008","DTN","113","01/01/2008","2399-0","LARCENY","1891102","884563"
"SL2008205","SALT LAKE CITY","2","3","290","200 S FOSS ST                                                                                           ","01/01/2008","POP","151","01/01/2008","2902-0","DAMAGED PROP","1879782","885881"
"SL2008230","SALT LAKE CITY","4","3","0","200 S RIO GRANDE ST                                                                                     ","01/01/2008","DTN","112","01/01/2008","7399-6","PUBLIC ORDER","1888236","885455"
"SL2008933","MAGNA",,"4","35A",,"01/02/2008","11","11","01/03/2008","3530-0","DRUGS","1826034","884694"
"SL2008246","SALT LAKE CITY","1","3","23F","1800 W INDEPENDENCE BLVD                                                                                 ","01/01/2008","WES","131","01/01/2008","2305-0","LARCENY","1876970","899476"
"SL2008320","SALT LAKE CITY","4","3","0","100 W 200 S                                                                                             ","01/01/2008","DTN","113","01/01/2008","7399-6","PUBLIC ORDER","1890645","885955"
"SL2008265","SALT LAKE CITY","5","3","23F","1800 S 300 W                                                                                             ","01/01/2008","PEF","234","01/01/2008","2305-0","LARCENY","1889412","873503"
"SL2008267","SALT LAKE CITY","1","3","290","400 N REDWOOD RD                                                                                        ","01/01/2008","JOM","133","01/01/2008","2902-0","DAMAGED PROP","1878488","891407"
"SL2008324","SALT LAKE CITY","2","3","290","700 S POST ST                                                                                           ","01/01/2008","POP","151","01/01/2008","2902-0","DAMAGED PROP","1884356","881489"
"SL2008351","SALT LAKE CITY","5","3","23D","500 E HARVARD AVE                                                                                       ","01/01/2008","WEL","232","01/01/2008","2308-0","LARCENY","1895793","878598"
"SL2008538","SALT LAKE CITY","6","3","23F","1400 S FOOTHILL DR                                                                                       ","01/01/2008","BOH","233","01/01/2008","2305-0","LARCENY","1909933","876703"
"SL200824886","SALT LAKE CITY","7","3","0","3000 S HIGHLAND DR                                                                                       ","01/01/2008","SUG","236","02/07/2008","7399-3","PUBLIC ORDER","1902383","864427"
"SL200828979","SALT LAKE CITY","2","3","23H","1400 W ANDREW AVE                                                                                        ","01/01/2008","WSL","153","02/13/2008","2399-0","LARCENY","1880664","875792"
"SL200844757","SALT LAKE CITY","2","3","220","1000 W CALIFORNIA AVE                                                                                    ","01/01/2008","WSL","152","03/07/2008","2203-0","BURGLARY","1883798","877103"
"SL200891544","SALT LAKE CITY","1","3","23D","800 N 1200 W                                                                                            ","01/01/2008","ROP","131","05/13/2008","2308-0","LARCENY","1882343","894150"
"SL2008102957","SALT LAKE CITY","4","3","23H","000 W 700 S                                                                                             ","01/01/2008","PEF","115","05/29/2008","2399-19","LARCENY","1891194","882050"
"SL2008116092","SALT LAKE CITY","4","3","270","200 E 300 S                                                                                             ","01/01/2008","CEC","113","06/16/2008","2701-0","EMBEZZLEMENT","1893798","885150"
"SL2008141014","SALT LAKE CITY","1","3","0","700 N OAKLEY ST                                                                                         ","01/01/2008","ROP","131","07/19/2008","7399-40","PUBLIC ORDER","1882124","893718"
"SL2008162295","SALT LAKE CITY","1","3","13B","500 N STAR CREST DR                                                                                     ","01/01/2008","JOM","133","08/18/2008","1313-0","ASSAULT","1877303","892061"
"SL2008250281","SALT LAKE CITY","4","3","90C","200 W 400 S                                                                                             ","01/01/2008","DTN","114","01/01/2008","5311-0","PUBLIC PEACE","1890223","884371"
"SL20092139","SALT LAKE CITY","3","3","220","300 E 1ST AVE                                                                                           ","01/01/2008","AVE","211","01/04/2009","2204-0","BURGLARY","1895452","888019"
