"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20082012","SALT LAKE CITY","6","6","290","1400 E LOGAN AVE                                                                                         ","01/04/2008","WAH","233","01/04/2008","2902-0","DAMAGED PROP","1903236","874755"
"SL20082023","SALT LAKE CITY","4","6","13A","500 S 500 E                                                                                             ","01/04/2008","CEC","214","01/04/2008","1305-0","ASSAULT","1895794","883336"
"SL20082026","SALT LAKE CITY","7","6","290","2000 S 1300 E                                                                                            ","01/04/2008","SUG","236","01/04/2008","2901-0","DAMAGED PROP","1902090","871905"
"SL20083154","SALT LAKE CITY","1","6","0","700 N TERMINAL NORTHBOUND DR                                                                            ","01/04/2008","WES","133","01/05/2008","7399-6","PUBLIC ORDER","1867036","893752"
"SL20082158","SALT LAKE CITY",,"6","0","000 REDWOOD RD                                                                                          ","01/04/2008","WSL","153","01/04/2008","5499-7","TRAFFIC","1878560","877175"
"SL20082469","SALT LAKE CITY","4","6","90Z","700 W 200 S                                                                                             ","01/04/2008","DTN","112","01/04/2008","4902-0","ESCAPE","1886310","886031"
"SL20082657","SALT LAKE CITY","4","6","90Z","200 S RIO GRANDE ST                                                                                     ","01/04/2008","DTN","112","01/04/2008","4902-0","ESCAPE","1888238","885862"
"SL20082652","SALT LAKE CITY","3","6","0","200 N 200 W                                                                                             ","01/04/2008","CAH","111","01/04/2008","7399-99","PUBLIC ORDER","1890330","889709"
"SL20082553","SALT LAKE CITY","7","6","23C","1100 E BRICKYARD RD                                                                                      ","01/04/2008","SUG","235","01/04/2008","2303-0","LARCENY","1900883","863411"
"SL200837831","MURRAY",,"5","35A",,"02/28/2008","45","45","02/28/2008","3530-0","DRUGS","1896311","837271"
"SL20082259","SALT LAKE CITY","2","6","290","600 S NAVAJO ST                                                                                         ","01/04/2008","POP","151","01/04/2008","2902-0","DAMAGED PROP","1881191","882745"
"SL20082641","SALT LAKE CITY","4","6","90Z","700 S 400 E                                                                                             ","01/04/2008","CEC","214","01/05/2008","4902-0","ESCAPE","1894996","881739"
"SL20082153","SALT LAKE CITY","2","6","90Z","200 S 900 W                                                                                             ","01/04/2008","POP","151","01/04/2008","4902-0","ESCAPE","1884710","886005"
"SL20082122","SALT LAKE CITY","4","6","23F","600 E 800 S                                                                                             ","01/04/2008","CEC","214","01/04/2008","2305-0","LARCENY","1897140","881237"
"SL20082204","SALT LAKE CITY","6","6","250","1300 S FOOTHILL DR                                                                                       ","01/04/2008","BOH","233","01/04/2008","2505-0","FORGERY","1909560","877264"
"SL20082628","SALT LAKE CITY","4","6","90Z","000 S 500 W                                                                                             ","01/04/2008","DTN","112","01/05/2008","4902-0","ESCAPE","1887883","887059"
"SL20082243","SALT LAKE CITY","3","6","23C","300 N C ST                                                                                              ","01/04/2008","AVE","211","01/04/2008","2303-0","LARCENY","1894840","890813"
