"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL201095","SALT LAKE CITY","4","6","13B","300 S WEST TEMPLE ST                                                                                    ","01/01/2010 12:00:00 AM","DTN","113","2010-01-01T00:00:00.000","1313-0","ASSAULT","1891043","884923"
"SL2010299","SALT LAKE CITY","5","6","0","400 E EMERSON AVE                                                                                       ","01/01/2010 12:00:00 AM","LIW","232","2010-01-01T00:00:00.000","7399-1","PUBLIC ORDER","1895194","875874"
"SL2010260","SALT LAKE CITY","5","6","13B","1400 S 400 E                                                                                             ","01/01/2010 12:00:00 AM","LIW","232","2010-01-01T00:00:00.000","4801-0","OBST POLICE","1894973","875896"
"SL2010262","SALT LAKE CITY","2","6","0","300 S EMERY ST                                                                                          ","01/01/2010 12:00:00 AM","POP","151","2010-01-01T00:00:00.000","5399-18","PUBLIC PEACE","1882509","884648"
"SL2010227","SALT LAKE CITY","4","6","90E","600 S 200 W                                                                                             ","01/01/2010 12:00:00 AM","PEF","114","2010-01-01T00:00:00.000","7399-26","PUBLIC ORDER","1890242","882671"
"SL2010242","SALT LAKE CITY","2","6","23F","1700 S 4490 W                                                                                            ","01/01/2010 12:00:00 AM","WSL","154","2010-01-01T00:00:00.000","2305-0","LARCENY","1862061","874773"
"SL2010307","SALT LAKE CITY","4","6","23H","500 S MAIN ST                                                                                           ","01/01/2010 12:00:00 AM","PEF","115","2010-01-01T00:00:00.000","2399-0","LARCENY","1891831","883579"
"SL2010298","SALT LAKE CITY","2","6","23H","5400 W 700 S                                                                                             ","01/01/2010 12:00:00 AM","POP","154","2010-01-01T00:00:00.000","2309-0","LARCENY","1856206","882473"
"SL2010871","SALT LAKE CITY","1","6","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/01/2010 12:00:00 AM","WES","133","2010-01-02T00:00:00.000","7399-1","PUBLIC ORDER","1866562","893915"
"SL2010881","SALT LAKE CITY","4","6","13B","700 S 300 E                                                                                             ","01/01/2010 12:00:00 AM","CEC","214","2010-01-02T00:00:00.000","1313-0","ASSAULT","1894264","881757"
"SL2010800","SALT LAKE CITY","1","6","240","1700 W NORTH TEMPLE ST                                                                                   ","01/01/2010 12:00:00 AM","JOM","133","2010-01-02T00:00:00.000","2499-13","STOLEN VEHICLE","1878273","888449"
"SL2010457","SALT LAKE CITY","1","6","23D","400 N PAMELA WAY                                                                                        ","01/01/2010 12:00:00 AM","JOM","133","2010-01-01T00:00:00.000","2308-0","LARCENY","1877542","891198"
"SL2010698","SALT LAKE CITY","4","6","90Z","800 S 500 E                                                                                             ","01/01/2010 12:00:00 AM","CEC","214","2010-01-01T00:00:00.000","4902-0","ESCAPE","1895844","880792"
"SL20101070","SALT LAKE CITY","3","6","220","600 N WALL ST                                                                                           ","01/01/2010 12:00:00 AM","CAH","111","2010-01-02T00:00:00.000","2202-0","BURGLARY","1890781","892669"
"SL2010563","SALT LAKE CITY","4","6","90G","400 S MAIN ST                                                                                           ","01/01/2010 12:00:00 AM","DTN","115","2010-01-01T00:00:00.000","4104-0","LIQUOR","1891892","883930"
"SL2010475","SALT LAKE CITY","4","6","90B","100 S RIO GRANDE ST                                                                                     ","01/01/2010 12:00:00 AM","DTN","112","2010-01-01T00:00:00.000","5399-14","PUBLIC PEACE","1888250","886781"
"SL2010362","SALT LAKE CITY","4","6","0","500 E 100 S                                                                                             ","01/01/2010 12:00:00 AM","CEC","212","2010-01-01T00:00:00.000","5399-23","PUBLIC PEACE","1896165","886725"
"SL2010212","SALT LAKE CITY","2","6","90E","1100 S MONTGOMERY ST                                                                                     ","01/01/2010 12:00:00 AM","WSL","152","2010-01-01T00:00:00.000","7399-26","PUBLIC ORDER","1879413","878663"
"SL2010493","SALT LAKE CITY","7","6","90Z","2100 S 1100 E                                                                                            ","01/01/2010 12:00:00 AM","SUG","235","2010-01-01T00:00:00.000","5499-0","TRAFFIC","1900505","871543"
"SL2010532","SALT LAKE CITY","7","6","35A","2100 S HIGHLAND DR                                                                                       ","01/01/2010 12:00:00 AM","162","Z6","2010-01-01T00:00:00.000","3562-0","DRUGS","1900504","871371"
"SL2010552","SALT LAKE CITY","4","6","0","500 E SOUTH TEMPLE ST                                                                                   ","01/01/2010 12:00:00 AM","CEC","212","2010-01-01T00:00:00.000","5499-8","TRAFFIC","1895846","887518"
"SL20101995","SALT LAKE CITY","2","6","13C","1400 W ARAPAHOE AVE                                                                                      ","01/01/2010 12:00:00 AM","POP","151","2010-01-04T00:00:00.000","1399-0","ASSAULT","1880306","882355"
"SL20102082","SALT LAKE CITY","4","6","90Z","100 S 200 W                                                                                             ","01/01/2010 12:00:00 AM","DTN","112","2010-01-04T00:00:00.000","1399-4","ASSAULT","1890257","886593"
"SL2010800005","SALT LAKE CITY","4","6","23F","400 S DOUGLAS ST                                                                                        ","01/01/2010 12:00:00 AM","EAC","213","2010-01-04T00:00:00.000","2305-0","LARCENY","1901744","884137"
"SL20101790","SALT LAKE CITY","2","6","220","1900 S 4130 W                                                                                            ","01/01/2010 12:00:00 AM","WSL","154","2010-01-04T00:00:00.000","2203-0","BURGLARY","1864416","872610"
"SL2010800010","SALT LAKE CITY","5","6","23F","1500 S 900 E                                                                                             ","01/01/2010 12:00:00 AM","EAC","232","2010-01-04T00:00:00.000","2305-0","LARCENY","1898994","875562"
