"case","city","city_council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2011165875","SALT LAKE CITY","F","6","90Z",,,"ROP","131","2011-10-01T17:50:36.000","5401-0","TRAFFIC","1883974","892348"
"SL2011800984",,,"7","23F",,,,,,"2305-0","LARCENY",,
"SL2011167716",,,"3","0",,,,,"2011-10-04T15:45:10.000","5499-6","TRAFFIC",,
"SL2011208676","SALT LAKE CITY","1","5","90Z",,,"113","Z1","2011-12-15T23:33:57.000","4902-0","ESCAPE","1865746","891599"
"SL2011168159","COTTONWOOD HEIGHTS","SL","4","26E",,,"25","25","2011-10-05T11:05:14.000","2608-0","FRAUD","1915458","823767"
"SL2011168331","SALT LAKE CITY","1","4","0",,,"113","Z1","2011-10-05T15:47:03.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011168894","SALT LAKE CITY",,"5","90C",,,,,"2011-10-06T16:10:14.000","7299-2","MORALS-DECENCY",,
"SL2011801016",,,"5","23H",,,,,,"2399-18","LARCENY",,
"SL2011169391","SALT LAKE CITY","1","6","0",,,"113","Z1","2011-10-07T13:26:11.000","5499-84","TRAFFIC","1866905","891511"
"SL2011801312",,,"7","290",,,,,,"2902-0","DAMAGED PROP",,
"SL2011171028","COPPERTON","SL","2","0",,,"21","21","2011-10-10T09:48:42.000","5399-87","PUBLIC PEACE","1833627","813129"
"SL2011171465",,,"3","0",,,,,"2011-10-11T05:57:02.000","5499-5","TRAFFIC",,
"SL2011172244","SALT LAKE CITY",,"4","23C",,,,,"2011-10-12T12:55:40.000","2303-0","LARCENY",,
"SL2011172507","WEST JORDAN",,"4","40A",,,,"D4","2011-10-12T20:06:33.000","4004-3","COMMERCIAL SEX",,
"SL2011172516","TAYLORSVILLE","SL","4","90Z",,,"13","13","2011-10-12T20:22:57.000","4902-0","ESCAPE","1884949","856674"
"SL2011801118",,,"4","26C",,,,,,"2699-1","FRAUD",,
"SL2011172645",,,"5","0",,,,,"2011-10-13T06:10:13.000","5499-6","TRAFFIC",,
"SL2011173266","SOUTH SALT LAKE","SL","5","35A",,,"42","42","2011-10-14T02:01:37.000","3572-0","DRUGS","1892942","866848"
"SL2011173333","SALT LAKE CITY","1","6","0",,,"111","Z1","2011-10-14T07:58:03.000","5499-8","TRAFFIC","1883047","895491"
"SL2011173976","SALT LAKE CITY","1","7","0",,,"113","Z1","2011-10-15T09:15:10.000","5499-84","TRAFFIC","1866905","891511"
"SL2011174018","DRAPER","SL","7","90Z",,,"53","53","2011-10-15T11:09:25.000","4902-0","ESCAPE","1891632","786936"
"SL2011174358","SALT LAKE COUNTY","SL","7","90D",,,"COU","31","2011-10-15T20:58:25.000","5403-0","TRAFFIC","1917639","877724"
"SL2011174555","SALT LAKE CITY","1","1","0",,,"113","Z1","2011-10-16T01:50:28.000","5499-5","TRAFFIC","1866905","891511"
"SL2011175797",,,"3","90Z",,,,,"2011-10-18T14:47:43.000","4902-0","ESCAPE",,
