"case","city","city_council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2011181996","SALT LAKE CITY","1","6","0",,,"113","Z1","2011-10-28T21:16:42.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011182555","SALT LAKE CITY",,"7","90E",,,,,"2011-10-29T18:27:18.000","7399-26","PUBLIC ORDER",,
"SL2011801132","CANYON RIM","SL","7","0",,,"02","02",,"7399-6","PUBLIC ORDER","1908746","865716"
"SL2011182929","SALT LAKE CITY","1","1","0",,,"113","Z1","2011-10-30T08:58:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011184065",,,"1","0",,,,,"2011-11-01T11:56:43.000","7399-6","PUBLIC ORDER",,
"SL2011183407",,,"2","0",,,,,"2011-10-31T10:03:18.000","5499-6","TRAFFIC",,
"SL2011183723","SALT LAKE CITY","1","2","90Z",,,"113","Z1","2011-10-31T18:31:43.000","3599-1","DRUGS","1866905","891511"
"SL2011184280","SALT LAKE CITY","1","3","0",,,"113","Z1","2011-11-01T20:24:32.000","7399-5","PUBLIC ORDER","1866905","891511"
"SL2011184400","WEST MILLCREEK","SL","4","0",,,"07","07","2011-11-02T06:45:13.000","7399-99","PUBLIC ORDER","1897423","860329"
"SL2011184678","SALT LAKE CITY","2","4","0",,,"124","Z2","2011-11-02T16:16:22.000","5499-7","TRAFFIC","1875513","877149"
"SL2011185165","SALT LAKE CITY","1","5","0",,,"113","Z1","2011-11-03T14:40:21.000","7399-25","PUBLIC ORDER","1877296","889536"
"SL2011185465",,,"6","0",,,,,"2011-11-04T00:40:39.000","5499-6","TRAFFIC",,
"SL2011185855",,,"6","90G",,,,,"2011-11-04T16:44:21.000","4104-0","LIQUOR",,
"SL2011186350","SANDY","SL","7","0",,,"51","51","2011-11-05T14:06:48.000","5499-8","TRAFFIC","1888211","816321"
"SL2011187823",,,"2","220",,,,,"2011-11-08T11:22:43.000","2203-0","BURGLARY",,
"SL2011801215",,,"2","26C",,,,,,"2699-1","FRAUD",,
"SL2011187731","SALT LAKE CITY","1","3","0",,,"113","Z1","2011-11-08T08:18:18.000","5499-84","TRAFFIC","1865746","891599"
"SL2011180703","SALT LAKE CITY","4","3","90Z",,,"142","Z4","2011-10-26T16:41:02.000","3599-99","DRUGS","1893430","885973"
"SL2011188629","MIDVALE","SL","4","520",,,"47","47","2011-11-09T18:22:44.000","5212-0","WEAPON OFFENSE","1888951","833418"
"SL2011188541","SALT LAKE CITY","1","4","0",,,"113","Z1","2011-11-09T15:41:58.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011188875","SALT LAKE CITY",,"4","90Z",,,"111","Z1","2011-11-10T08:36:09.000","5309-0","PUBLIC PEACE","1878556","898588"
"SL2011188461","SOUTH SALT LAKE",,"4","0",,,,,"2011-11-09T13:34:50.000","5399-28","PUBLIC PEACE",,
"SL2011189824","SALT LAKE CITY","1","5","23H",,,"113","Z1","2011-11-11T18:04:03.000","2399-0","LARCENY","1865746","891599"
"SL2011189934","SALT LAKE CITY","5","6","90D",,,"161","Z6","2011-11-11T21:36:56.000","5404-0","TRAFFIC","1892581","872409"
"SL2011190078",,,"7","120",,,,,"2011-11-12T02:29:10.000","1203-0","ROBBERY",,
"SL2011190586","SALT LAKE CITY","1","7","90Z",,,"113","Z1","2011-11-12T23:35:26.000","3599-2","DRUGS","1865746","891599"
"SL2011191272",,,"2","0",,,,,"2011-11-14T10:27:38.000","5399-87","PUBLIC PEACE",,
"SL2011191236","SALT LAKE CITY","1","2","0",,,"113","Z1","2011-11-14T09:23:25.000","5399-28","PUBLIC PEACE","1865746","891599"
"SL2011191827","SALT LAKE CITY","1","3","0",,,"113","Z1","2011-11-15T10:15:04.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011192292",,,"4","90Z",,,,,"2011-11-16T08:50:29.000","4902-0","ESCAPE",,
"SL2011192744","SALT LAKE CITY","2","5","0",,,"124","Z2","2011-11-17T02:49:49.000","5499-8","TRAFFIC","1878512","871779"
"SL2011193243","SALT LAKE CITY",,"5","0",,,"163","Z6","2011-11-17T21:58:35.000","5499-8","TRAFFIC","1909767","876470"
"SL2011193474","SALT LAKE CITY",,"6","35B",,,"162","Z6","2011-11-18T11:54:07.000","3550-0","DRUGS","1902052","862356"
"SL2011193771","SALT LAKE CITY","1","6","0",,,"113","Z1","2011-11-18T19:29:17.000","7399-17","PUBLIC ORDER","1856224","889238"
"SL2011199694","SALT LAKE CITY","4","6","26C",,,"142","Z4","2011-11-30T07:51:02.000","2699-1","FRAUD","1894390","886000"
"SL2011194319","SALT LAKE CITY",,"7","90E",,,,,"2011-11-19T20:31:38.000","7399-26","PUBLIC ORDER",,
"SL2011801194",,,"7","23F",,,,,,"2305-0","LARCENY",,
"SL2011196317","SALT LAKE CITY","1","4","0",,,"113","Z1","2011-11-23T13:55:00.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011197023","SALT LAKE CITY","1","6","13A",,,"112","Z1","2011-11-25T01:30:40.000","1304-0","ASSAULT","1882779","890768"
"SL2011197729","SALT LAKE CITY","1","7","0",,,"113","Z1","2011-11-26T13:06:49.000","5499-84","TRAFFIC","1865746","891599"
"SL2011198455","SALT LAKE CITY","1","1","290",,,"113","Z1","2011-11-27T21:18:46.000","2901-0","DAMAGED PROP","1866905","891511"
"SL2011198600",,,"2","0",,,,,"2011-11-28T08:36:19.000","5499-6","TRAFFIC",,
"SL2011198668","SALT LAKE CITY","1","2","0",,,"113","Z1","2011-11-28T11:17:44.000","7399-6","PUBLIC ORDER","1866905","891511"
"SL2011198922","DRAPER",,"2","0",,,,,"2011-11-28T19:08:08.000","5499-2","TRAFFIC",,
"SL2011199207","SALT LAKE CITY","1","3","0",,,"113","Z1","2011-11-29T10:35:43.000","5499-84","TRAFFIC","1866905","891511"
"SL2011199412","SALT LAKE CITY","1","3","0",,,"113","Z1","2011-11-29T16:31:25.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011199609","SALT LAKE CITY","1","3","0",,,"113","Z1","2011-11-29T23:50:59.000","5399-28","PUBLIC PEACE","1866905","891511"
"SL2011200429","SALT LAKE CITY","1","5","0",,,"113","Z1","2011-12-01T13:03:06.000","5499-84","TRAFFIC","1866905","891511"
"SL2011180697","SALT LAKE CITY","4","5","90Z",,,"142","Z4","2011-10-26T16:40:12.000","3599-99","DRUGS","1893430","885973"
"SL2011200994","SALT LAKE CITY","2","6","0",,,"132","Z3","2011-12-02T13:02:54.000","5499-7","TRAFFIC","1888250","886781"
"SL2011201506",,,"7","0",,,,,"2011-12-03T06:43:19.000","5499-5","TRAFFIC",,
"SL2011201585","SALT LAKE CITY",,"7","90J",,,,,"2011-12-03T11:16:04.000","5707-0","INV OF PRIVACY",,
"SL2011202445","SALT LAKE CITY",,"7","220",,,,,"2011-12-04T23:36:26.000","2204-0","BURGLARY",,
"SL2011801250","SALT LAKE CITY","6","1","23H","1700 S OAK SPRINGS DR                                                                                    ",,"154","Z5",,"2399-0","LARCENY","1913127","873999"
"SL2011202962","SALT LAKE CITY","1","2","0",,,"113","Z1","2011-12-05T22:42:14.000","7399-99","PUBLIC ORDER","1877294","888832"
"SL2011801315",,,"2","23H",,,,,,"2399-0","LARCENY",,
"SL2011203494","SALT LAKE CITY","4","3","90Z",,,"142","Z4","2011-12-06T20:27:15.000","3599-99","DRUGS","1893430","885973"
"SL2011203926","SALT LAKE CITY",,"4","0",,,,,"2011-12-07T16:26:24.000","5399-26","PUBLIC PEACE",,
"SL2011203919","SALT LAKE CITY",,"4","23F",,,,,"2011-12-07T16:02:47.000","2305-0","LARCENY",,
"SL2011204076","SALT LAKE CITY",,"4","0",,,,,"2011-12-07T23:21:44.000","7399-4","PUBLIC ORDER",,
"SL2011801260","SALT LAKE CITY","6","5","26C","1600 E SUNNYSIDE AVE                                                                                     ",,"154","Z5",,"2699-1","FRAUD","1904946","880702"
"SL2011204956",,,"6","0",,,,,"2011-12-09T13:48:36.000","7399-5","PUBLIC ORDER",,
"SL2011206112","SALT LAKE CITY","1","1","0",,,"113","Z1","2011-12-11T12:02:44.000","5499-84","TRAFFIC","1866905","891511"
"SL2011206037","SALT LAKE CITY","1","1","0",,,"113","Z1","2011-12-11T06:35:52.000","5499-8","TRAFFIC","1866905","891511"
"SL2011206406","SALT LAKE CITY",,"2","0",,,,,"2011-12-12T03:01:31.000","5499-12","TRAFFIC",,
"SL2011208782","CANYON RIM","SL","6","290",,,"02","02","2011-12-16T08:09:51.000","2902-0","DAMAGED PROP","1906910","864342"
"SL2011209617","SALT LAKE CITY","1","7","520",,,"113","Z1","2011-12-17T13:59:53.000","5202-0","WEAPON OFFENSE","1866905","891511"
"SL2011209607",,,"7","290",,,,,"2011-12-17T13:35:22.000","2902-0","DAMAGED PROP",,
"SL2011210862","SALT LAKE CITY","3","2","0",,,"143","Z4","2011-12-19T16:23:31.000","7399-99","PUBLIC ORDER","1906073","888140"
"SL2012800012",,,"2","90Z",,,,,,"5309-0","PUBLIC PEACE",,
"SL2011212165",,,"4","23C",,,,,"2011-12-21T22:27:38.000","2303-0","LARCENY",,
"SL2011212213","SALT LAKE CITY","1","5","0",,,"113","Z1","2011-12-22T01:14:44.000","5499-6","TRAFFIC","1865746","891599"
"SL2011212556","SALT LAKE CITY","1","5","0",,,"113","Z1","2011-12-22T16:43:01.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011214262","SALT LAKE CITY",,"5","23H",,,,,"2011-12-26T15:10:51.000","2309-0","LARCENY",,
"SL2011213943","SALT LAKE CITY",,"1","13B",,,,,"2011-12-25T15:21:27.000","4801-1","OBST POLICE",,
"SL2011214395","WEST VALLEY CITY",,"2","0",,,,,"2011-12-26T22:37:20.000","7399-3","PUBLIC ORDER",,
"SL2011214440","SALT LAKE CITY","1","3","0",,,"111","Z1","2011-12-27T02:55:56.000","5499-5","TRAFFIC","1886286","892724"
"SL2011214699",,,"3","0",,,,,"2011-12-27T16:45:30.000","5499-6","TRAFFIC",,
"SL2011216128","SALT LAKE CITY","1","3","290",,,"113","Z1","2011-12-30T08:59:29.000","2901-0","DAMAGED PROP","1866905","891511"
"SL2011215690","SALT LAKE CITY","2","5","23D",,,"132","Z3","2011-12-29T14:38:06.000","2308-0","LARCENY","1888340","887737"
"SL2011216492","SALT LAKE CITY","1","6","290",,,"113","Z1","2011-12-30T19:45:21.000","2902-1","DAMAGED PROP","1866905","891511"
"SL2011216250","WEST VALLEY CITY","SL","6","90Z",,,"43","43","2011-12-30T13:31:03.000","4902-0","ESCAPE","1881667","870583"
"SL2011216736","SALT LAKE CITY","1","7","90Z",,,"113","Z1","2011-12-31T03:36:41.000","4902-0","ESCAPE","1877296","889638"
"SL2011216945","SALT LAKE CITY","1","7","0",,,"113","Z1","2011-12-31T14:56:57.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201119","SALT LAKE CITY","1","7","0","600 N 3800 W                                                                                            ",,"JOM","133","2011-01-01T00:35:41.000","5399-28","PUBLIC PEACE","1866570","892376"
"SL201116","SALT LAKE CITY","4","7","90D","200 S STATE ST                                                                                          ",,"DTN","113","2011-01-01T00:30:32.000","5404-0","TRAFFIC","1892632","885581"
"SL201187583",,,"4","0",,,,,"2011-06-01T23:49:35.000","5499-6","TRAFFIC",,
"SL201121","SALT LAKE CITY","4","7","90D","500 S 200 W                                                                                             ",,"PEF","114","2011-01-01T00:39:53.000","5404-0","TRAFFIC","1890244","883165"
"SL201129","SALT LAKE CITY","4","7","90D","400 S 200 W                                                                                             ",,"DTN","114","2011-01-01T00:54:12.000","5404-0","TRAFFIC","1890249","884377"
"SL201146",,,"7","90D",,,,,"2011-01-01T01:14:32.000","5404-0","TRAFFIC",,
"SL201187","SALT LAKE CITY","4","7","90D","600 W 400 S                                                                                             ",,"DTN","112","2011-01-01T01:56:23.000","5404-0","TRAFFIC","1886716","884444"
"SL2011105","SALT LAKE CITY","4","7","90D","400 S WEST TEMPLE ST                                                                                    ",,"DTN","115","2011-01-01T02:11:04.000","5404-0","TRAFFIC","1891069","884002"
"SL2011109","SALT LAKE CITY","4","7","90D","800 E 700 S                                                                                             ",,"EAC","215","2011-01-01T02:13:48.000","5404-0","TRAFFIC","1898571","882023"
"SL2011115","SALT LAKE CITY","1","7","90D","600 N 3800 W                                                                                            ",,"JOM","133","2011-01-01T02:21:52.000","5499-44","TRAFFIC","1866547","892675"
"SL2011137","SALT LAKE CITY","1","7","0","3700 W TERMINAL WESTBOUND DR                                                                             ",,"WES","133","2011-01-01T02:43:56.000","5499-84","TRAFFIC","1866560","893915"
"SL2011146","SALT LAKE CITY","4","7","13B","800 S 400 W                                                                                             ",,"PEF","114","2011-01-01T02:57:32.000","4801-0","OBST POLICE","1888680","880840"
"SL2011116","SALT LAKE CITY","1","7","90Z","600 N 3800 W                                                                                            ",,"JOM","133","2011-01-01T02:22:15.000","4902-0","ESCAPE","1866547","892675"
"SL2011184","SALT LAKE CITY","4","7","90D","300 S 500 W                                                                                             ",,"DTN","112","2011-01-01T04:41:52.000","5404-0","TRAFFIC","1887904","884806"
"SL2011167","SALT LAKE CITY","4","7","290","1200 E 600 S                                                                                             ",,"EAC","215","2011-01-01T03:47:43.000","2902-1","DAMAGED PROP","1901620","882805"
"SL2011164","SALT LAKE CITY","4","7","290","600 S 300 W                                                                                             ",,"PEF","114","2011-01-01T03:46:58.000","2902-1","DAMAGED PROP","1889509","882613"
"SL2011193","SALT LAKE CITY","3","7","0","400 N 500 W                                                                                             ",,"CAH","111","2011-01-01T05:18:30.000","5499-12","TRAFFIC","1887958","890771"
"SL201190","SALT LAKE CITY","5","7","0","800 E HARRISON AVE                                                                                      ",,"EAC","232","2011-01-01T01:56:48.000","5399-28","PUBLIC PEACE","1898602","876749"
"SL2011200","SALT LAKE CITY","2","7","290","300 S 1000 W                                                                                            ",,"POP","151","2011-01-01T06:02:19.000","2902-1","DAMAGED PROP","1883973","884721"
"SL2011210","SALT LAKE CITY","1","7","13B","1800 W 600 N                                                                                             ",,"JOM","133","2011-01-01T06:45:14.000","1313-0","ASSAULT","1877167","892394"
"SL2011133","SALT LAKE CITY","4","7","13B","900 E 300 S                                                                                             ",,"EAC","213","2011-01-01T02:35:37.000","1313-0","ASSAULT","1899017","885130"
"SL2011153","WEST JORDAN",,"7","13A",,,,,"2011-01-01T03:09:37.000","1306-0","ASSAULT",,
"SL2011178","SALT LAKE CITY","3","7","0","100 N 200 W                                                                                             ",,"CAH","111","2011-01-01T04:23:16.000","7399-1","PUBLIC ORDER","1890267","888875"
"SL201133","SALT LAKE CITY","7","7","0","600 E REDONDO AVE                                                                                       ",,"LIW","234","2011-01-01T00:59:01.000","7399-1","PUBLIC ORDER","1896940","872037"
"SL20114","SALT LAKE CITY","4","7","13B","200 S 500 E                                                                                             ",,"CEC","212","2011-01-01T00:03:43.000","1313-0","ASSAULT","1895863","885564"
"SL20115","SALT LAKE CITY","5","7","0","900 S 1100 E                                                                                            ",,"EAL","232","2011-01-01T00:04:35.000","5399-30","PUBLIC PEACE","1900558","879567"
"SL201130","SALT LAKE CITY","2","7","13B","400 N REDWOOD RD                                                                                        ",,"JOM","132","2011-01-01T00:54:20.000","4801-1","OBST POLICE","1878546","890840"
"SL201127","SALT LAKE CITY","4","7","0","200 S 200 W                                                                                             ",,"DTN","112","2011-01-01T00:52:30.000","5499-7","TRAFFIC","1890255","885974"
"SL2011165","SALT LAKE CITY","4","7","290","200 W 300 S                                                                                             ",,"DTN","112","2011-01-01T03:47:28.000","2902-1","DAMAGED PROP","1889747","885225"
"SL2011214","SALT LAKE CITY","5","7","90Z","1400 S WEST TEMPLE ST                                                                                    ",,"PEF","231","2011-01-01T07:07:52.000","5401-0","TRAFFIC","1891008","876217"
"SL201175","SALT LAKE CITY","5","7","23F","200 W 900 S                                                                                             ",,"PEF","114","2011-01-01T01:37:23.000","2305-0","LARCENY","1890056","880408"
"SL2011166","SALT LAKE CITY","4","7","13B","200 S RIO GRANDE ST                                                                                     ",,"DTN","112","2011-01-01T03:49:15.000","1313-0","ASSAULT","1888238","885862"
"SL2011296",,,"7","0",,,,,"2011-01-01T11:43:34.000","5499-84","TRAFFIC",,
"SL2011314","SALT LAKE CITY","3","7","290","300 N QUINCE ST                                                                                         ",,"CAH","111","2011-01-01T12:39:33.000","2902-0","DAMAGED PROP","1890719","890599"
"SL2011256","SALT LAKE CITY","3","7","0","200 N F ST                                                                                              ",,"AVE","211","2011-01-01T09:42:06.000","7399-3","PUBLIC ORDER","1896050","889439"
"SL201112330","SALT LAKE CITY",,"7","0",,,,,"2011-01-22T02:46:55.000","7399-2","PUBLIC ORDER",,
"SL2011288","SALT LAKE CITY","2","7","90Z","800 W LUCY AVE                                                                                          ",,"WSL","152","2011-01-01T11:30:27.000","5401-0","TRAFFIC","1884979","877840"
"SL201199","SALT LAKE CITY","4","7","13B","100 S 500 W                                                                                             ",,"DTN","112","2011-01-01T02:00:41.000","4801-0","OBST POLICE","1887941","886500"
"SL2011321","SALT LAKE CITY","2","7","90Z","1600 W BUNBURY LN                                                                                        ",,"POP","151","2011-01-01T12:55:37.000","5401-0","TRAFFIC","1878812","882420"
"SL2011118","SALT LAKE CITY","5","7","13B","1400 S 400 E                                                                                             ",,"LIW","232","2011-01-01T02:23:16.000","1313-0","ASSAULT","1894973","875864"
"SL2011318","SALT LAKE CITY","4","7","35A","400 E 700 S                                                                                             ",,"CEC","214","2011-01-01T12:54:41.000","3562-0","DRUGS","1895041","881976"
"SL2011363","SALT LAKE CITY","7","7","13B","2600 S WINDSOR CIR                                                                                       ",,"SUG","235","2011-01-01T14:26:21.000","1313-0","ASSAULT","1898524","867181"
"SL2011330","SALT LAKE CITY","7","7","220","1800 S 1300 E                                                                                            ",,"SUG","236","2011-01-01T13:16:06.000","2202-0","BURGLARY","1902094","873053"
"SL2011383","SALT LAKE CITY","5","7","90Z","300 E HERBERT AVE                                                                                       ",,"LIW","232","2011-01-01T15:37:28.000","5007-0","OBST JUDICIAL","1894819","879205"
"SL2011393","SALT LAKE CITY","5","7","90Z","300 W 1300 S                                                                                            ",,"PEF","231","2011-01-01T16:00:32.000","4902-0","ESCAPE","1889283","877498"
"SL2011375","SALT LAKE CITY","7","7","13B","800 E STRATFORD AVE                                                                                     ",,"SUG","235","2011-01-01T15:17:46.000","1313-0","ASSAULT","1898422","868067"
"SL2011312","SALT LAKE CITY","7","7","23C","3200 S RICHMOND ST                                                                                       ",,"SUG","235","2011-01-01T12:39:30.000","2303-0","LARCENY","1901960","862699"
"SL2011171","SALT LAKE CITY","4","7","0","100 W 200 S                                                                                             ",,"DTN","113","2011-01-01T03:59:10.000","7399-7","PUBLIC ORDER","1890645","885955"
"SL2011352","SALT LAKE CITY","3","7","13C","200 W 200 N                                                                                             ",,"CAH","111","2011-01-01T14:16:31.000","1316-2","ASSAULT","1890257","889184"
"SL2011424","SALT LAKE CITY","4","7","0","1200 E ALAMEDA AVE                                                                                       ",,"EAC","213","2011-01-01T16:58:18.000","7399-1","PUBLIC ORDER","1901670","887097"
"SL2011371","SALT LAKE CITY","5","7","0","900 S MAIN ST                                                                                           ",,"PEF","231","2011-01-01T15:06:26.000","7399-18","PUBLIC ORDER","1891876","879527"
"SL2011401","SALT LAKE CITY","5","7","220","1000 S 500 E                                                                                             ",,"WEL","232","2011-01-01T16:18:37.000","2204-0","BURGLARY","1895777","878990"
"SL2011413","SALT LAKE CITY","2","7","240","600 S REDWOOD RD                                                                                        ",,"POP","151","2011-01-01T16:43:29.000","2499-13","STOLEN VEHICLE","1878608","882542"
"SL20111792","SALT LAKE CITY","1","3","0",,,"A3","133","2011-01-04T11:07:43.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011417","SALT LAKE CITY","4","7","23D","200 S RIO GRANDE ST                                                                                     ",,"DTN","112","2011-01-01T16:52:13.000","2308-0","LARCENY","1888238","885862"
"SL2011422","SALT LAKE CITY","1","7","0","900 W 1200 N                                                                                            ",,"ROP","131","2011-01-01T16:54:42.000","5399-23","PUBLIC PEACE","1884158","896878"
"SL2011428","SALT LAKE CITY","6","7","13B","1300 E 1700 S                                                                                            ",,"SUG","236","2011-01-01T17:13:07.000","1313-0","ASSAULT","1902155","874432"
"SL2011254","SALT LAKE CITY","2","7","0","1200 S 5600 W                                                                                            ",,"WSL","154","2011-01-01T09:41:54.000","5499-8","TRAFFIC","1854726","878828"
"SL201115","SALT LAKE CITY","4","7","35A","500 W 100 S                                                                                             ",,"DTN","112","2011-01-01T00:27:36.000","3503-0","DRUGS","1887615","886818"
"SL2011435","SALT LAKE CITY","3","7","13A","500 W 300 N                                                                                             ",,"STF","111","2011-01-01T17:41:11.000","1305-0","ASSAULT","1887328","889988"
"SL2011513","SALT LAKE CITY","7","7","0","2200 S 1300 E                                                                                            ",,"SUG","236","2011-01-01T20:00:37.000","5499-7","TRAFFIC","1902125","870120"
"SL2011585","SALT LAKE CITY","1","7","0",,,"A3","133","2011-01-01T22:32:56.000","7399-99","PUBLIC ORDER","1866905","891511"
"SL2011485","SALT LAKE CITY","2","7","90Z","1100 W 600 S                                                                                             ",,"POP","151","2011-01-01T19:14:47.000","4902-0","ESCAPE","1882983","882874"
"SL2011508","SALT LAKE CITY","1","7","13B","1100 N REDWOOD RD                                                                                        ",,"WES","131","2011-01-01T19:49:13.000","1313-0","ASSAULT","1878573","896989"
"SL2011541","SALT LAKE CITY","3","7","90Z","500 W 300 N                                                                                             ",,"STF","111","2011-01-01T21:03:32.000","4902-0","ESCAPE","1887328","889988"
"SL2011543","SALT LAKE CITY","1","7","0","5500 W AMELIA EARHART DR                                                                                 ",,"JOM","133","2011-01-01T21:10:31.000","7399-1","PUBLIC ORDER","1854967","890284"
"SL2011554","SALT LAKE CITY","2","7","13C","500 N 800 W                                                                                             ",,"STF","132","2011-01-01T21:41:22.000","1316-2","ASSAULT","1885585","891573"
"SL2011460","SALT LAKE CITY","2","7","23C","2000 S 900 W                                                                                             ",,"WSL","153","2011-01-01T18:29:29.000","2303-0","LARCENY","1884684","872260"
"SL2011538","SALT LAKE CITY","1","7","90Z","700 N 900 W                                                                                             ",,"ROP","131","2011-01-01T20:55:40.000","4902-0","ESCAPE","1884802","893763"
"SL2011529","SALT LAKE CITY","5","7","35A","100 E 1300 S                                                                                            ",,"LIW","231","2011-01-01T20:40:26.000","3572-0","DRUGS","1892904","877426"
"SL2011472","SALT LAKE CITY","7","7","90C","1600 E 2100 S                                                                                            ",,"SUG","236","2011-01-01T18:50:10.000","7299-2","MORALS-DECENCY","1904538","871649"
"SL2011507","SALT LAKE CITY","7","7","90C","1600 E 2100 S                                                                                            ",,"SUG","236","2011-01-01T19:49:18.000","7299-2","MORALS-DECENCY","1904538","871649"
"SL2011480","SALT LAKE CITY","7","7","90C","1600 E 2100 S                                                                                            ",,"SUG","236","2011-01-01T19:07:15.000","7299-2","MORALS-DECENCY","1904538","871649"
"SL2011619","SALT LAKE CITY","3","7","0","1700 E NORTH CAMPUS DR                                                                                   ",,"AVE","213","2011-01-01T23:35:06.000","5499-6","TRAFFIC","1905428","888676"
"SL2011537","SALT LAKE CITY","6","7","0","1500 S FOOTHILL DR                                                                                       ",,"EAB","233","2011-01-01T20:53:12.000","7399-1","PUBLIC ORDER","1911134","874970"
"SL2011555","SALT LAKE CITY","7","7","0","1900 E CLAYBOURNE AVE                                                                                    ",,"SUG","236","2011-01-01T21:44:28.000","5399-23","PUBLIC PEACE","1906921","866296"
"SL2011525","SALT LAKE CITY","4","7","0","700 S 700 E                                                                                             ",,"CEC","214","2011-01-01T20:31:21.000","5399-23","PUBLIC PEACE","1897373","881959"
"SL2011573","SALT LAKE CITY","2","7","90Z","500 N 800 W                                                                                             ",,"STF","132","2011-01-01T22:09:31.000","4902-0","ESCAPE","1885585","891573"
"SL2011190","SALT LAKE CITY","4","7","13A","100 W 200 S                                                                                             ",,"DTN","113","2011-01-01T05:09:38.000","1306-0","ASSAULT","1890645","885955"
