"cases","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2009197","SALT LAKE CITY","6","5","290","1400 S 1900 E                                                                                            ","01/01/2009","WAH","233","01/01/2009","2902-1","DAMAGED PROP","1906925","876520"
"SL2009309","SALT LAKE CITY","4","5","0","1200 E 100 S                                                                                             ","01/01/2009","EAC","213","01/01/2009","7399-99","PUBLIC ORDER","1901926","886703"
"SL2009346","SALT LAKE CITY","7","5","23C","2200 S 1300 E                                                                                            ","01/01/2009","SUG","236","01/01/2009","2303-0","LARCENY","1902124","869942"
"SL2009747","SALT LAKE CITY","4","5","23D","200 S RIO GRANDE ST                                                                                     ","01/01/2009","DTN","112","01/02/2009","2308-0","LARCENY","1888238","885862"
"SL2009738","SALT LAKE CITY","4","5","23F","100 W 500 S                                                                                             ","01/01/2009","DTN","115","01/02/2009","2305-0","LARCENY","1890665","883638"
"SL2009341","SALT LAKE CITY","4","5","23D","000 S RIO GRANDE ST                                                                                     ","01/01/2009","DTN","112","01/01/2009","2308-0","LARCENY","1888298","886997"
"SL2009771","SALT LAKE CITY","3","5","220","500 N 500 W                                                                                             ","01/01/2009","CAH","111","01/02/2009","2203-0","BURGLARY","1887963","892019"
"SL2009469","SALT LAKE CITY","4","5","90Z","200 S RIO GRANDE ST                                                                                     ","01/01/2009","DTN","112","01/01/2009","4902-0","ESCAPE","1888238","885862"
"SL2009897","SALT LAKE CITY","4","5","23F","300 W 600 S                                                                                             ","01/01/2009","PEF","114","01/02/2009","2305-0","LARCENY","1888894","882852"
"SL2009994","SALT LAKE CITY","4","5","13C","900 E 700 S                                                                                             ","01/01/2009","EAC","215","01/02/2009","1316-3","ASSAULT","1899110","881991"
"SL2009457","SALT LAKE CITY","6","5","23C","1300 S FOOTHILL DR                                                                                       ","01/01/2009","BOH","233","01/01/2009","2303-0","LARCENY","1909760","876964"
"SL2009458","SALT LAKE CITY","4","5","0","100 S 900 E                                                                                             ","01/01/2009","EAC","213","01/01/2009","5399-28","PUBLIC PEACE","1899038","886538"
"SL2009389","SALT LAKE CITY","2","5","290","1700 W NORTH TEMPLE ST                                                                                   ","01/01/2009","JOM","133","01/01/2009","2902-0","DAMAGED PROP","1878536","888448"
"SL2009404","SALT LAKE CITY","4","5","0","300 S 400 W                                                                                             ","01/01/2009","DTN","112","01/01/2009","7399-5","PUBLIC ORDER","1888667","885023"
"SL2009547","SALT LAKE CITY","1","5","35B","1100 W 600 N                                                                                             ","01/01/2009","ROP","131","01/01/2009","3550-0","DRUGS","1882583","892384"
"SL20091735","SALT LAKE CITY",,"7","0",,"01/03/2009","40","40","01/03/2009","7399-1","PUBLIC ORDER","1869739","890270"
"SL2009564","SALT LAKE CITY","1","5","90Z","1100 W 600 N                                                                                             ","01/01/2009","ROP","131","01/01/2009","4902-0","ESCAPE","1882583","892384"
"SL2009557","SALT LAKE CITY","5","5","0","1400 S 400 E                                                                                             ","01/01/2009","LIW","232","01/01/2009","5399-28","PUBLIC PEACE","1894975","876383"
"SL20091137","SALT LAKE CITY","4","5","90Z","300 S 300 W                                                                                             ","01/01/2009","DTN","112","01/01/2009","5401-0","TRAFFIC","1889517","884579"
"SL2009583","SALT LAKE CITY","5","5","13A","1300 S 400 E                                                                                             ","01/01/2009","LIW","232","01/01/2009","1305-0","ASSAULT","1894979","877271"
"SL20092165","SALT LAKE CITY","4","5","13B","200 S WEST TEMPLE ST                                                                                    ","01/01/2009","DTN","113","01/01/2009","4801-0","OBST POLICE","1891105","885456"
"SL20092183","SALT LAKE CITY","7","5","90Z","2200 S 1300 E                                                                                            ","01/01/2009","SUG","236","01/01/2009","4902-0","ESCAPE","1902124","869942"
"SL20092225","SALT LAKE CITY","7","5","90Z","1800 S 1000 E                                                                                            ","01/01/2009","SUG","235","01/04/2009","5801-0","SMUGGLING","1899751","873360"
"SL2009813","SALT LAKE CITY","3","5","23F","700 E 18TH AVE                                                                                          ","01/01/2009","AVE","211","01/02/2009","2305-0","LARCENY","1898331","894683"
"SL2009840","SALT LAKE CITY","4","5","0","100 W 200 S                                                                                             ","01/01/2009","DTN","113","01/02/2009","7399-6","PUBLIC ORDER","1890645","885955"
"SL20093319","SALT LAKE CITY","5","5","23D","1100 S 700 E                                                                                             ","01/01/2009","EAL","232","01/06/2009","2308-0","LARCENY","1897417","878178"
"SL20093948","SALT LAKE CITY","4","5","23H","300 W 200 S                                                                                             ","01/01/2009","DTN","112","01/07/2009","2399-18","LARCENY","1888872","886021"
"SL20094454","SALT LAKE CITY","2","5","23F","2300 W NORTH TEMPLE ST                                                                                   ","01/01/2009","POP","133","01/08/2009","2305-0","LARCENY","1873735","888406"
"SL2009319","SALT LAKE CITY","1","5","0",,"01/01/2009","JOM","133","01/01/2009","5499-7","TRAFFIC","1866905","891511"
"SL20099349","SALT LAKE CITY","4","5","26C","300 E 200 S                                                                                             ","01/01/2009","CEC","212","01/16/2009","2699-1","FRAUD","1894390","886000"
"SL200912478","SALT LAKE CITY","4","5","26A","100 W PIERPONT AVE                                                                                      ","01/01/2009","DTN","113","01/21/2009","2602-0","FRAUD","1890799","885617"
"SL200914306","SALT LAKE CITY","4","5","23B","000 S RIO GRANDE ST                                                                                     ","01/01/2009","DTN","112","01/24/2009","2302-0","LARCENY","1888237","887060"
"SL200914459","SALT LAKE CITY","3","5","290","400 N QUINCE ST                                                                                         ","01/01/2009","CAH","111","01/24/2009","2902-1","DAMAGED PROP","1890751","890965"
"SL200926077","SALT LAKE CITY","1","5","23H","700 N 900 W                                                                                             ","01/01/2009","ROP","131","02/12/2009","2310-0","LARCENY","1884802","893752"
"SL20091","SALT LAKE CITY","4","5","0","100 S 500 E                                                                                             ","01/01/2009","CEC","212","01/01/2009","7399-0","PUBLIC ORDER","1895807","886733"
"SL200950689","SALT LAKE CITY","5","5","0","1000 S 900 E                                                                                             ","01/01/2009","EAL","232","03/23/2009","7399-40","PUBLIC ORDER","1899008","879084"
"SL200957835","SALT LAKE CITY","2","5","26A","1100 W MEAD AVE                                                                                          ","01/01/2009","WSL","152","04/03/2009","2699-0","FRAUD","1882618","879749"
"SL200967422","SALT LAKE CITY","1","5","220","600 N LAFAYETTE DR                                                                                      ","01/01/2009","ROP","131","04/18/2009","2204-0","BURGLARY","1882827","893166"
"SL2009159680","SALT LAKE CITY","1","5","26C","1100 N CATHERINE ST                                                                                      ","01/01/2009","ROP","131","09/04/2009","2604-0","FRAUD","1880192","896720"
