"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL200712","SALT LAKE CITY","7","2","90D","2100 S 1300 E                                                                                            ","01/01/2007","SUG","236","01/01/2007","5404-0","TRAFFIC","1902089","871110"
"SL200728","SALT LAKE CITY","4","2","90D","500 W 400 S                                                                                             ","01/01/2007","DTN","114","01/01/2007","5404-0","TRAFFIC","1887761","884380"
"SL200770","SALT LAKE CITY","1","2","0","700 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2007","WES","133","01/01/2007","7399-5","PUBLIC ORDER","1867036","893752"
"SL200785","SALT LAKE CITY","4","2","0","500 W 200 S                                                                                             ","01/01/2007","DTN","112","01/01/2007","5499-6","TRAFFIC","1887897","886025"
"SL200777","SALT LAKE CITY","1","2","90D","800 N POINSETTIA DR                                                                                     ","01/01/2007","ROP","131","01/01/2007","5404-0","TRAFFIC","1884451","894044"
"SL200720","SALT LAKE CITY","1","2","13B","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2007","JOM","133","01/01/2007","4801-0","OBST POLICE","1866905","891511"
"SL200794","SALT LAKE CITY","4","2","23F","100 W PIERPONT AVE                                                                                      ","01/01/2007","DTN","113","01/01/2007","2305-0","LARCENY","1890717","885557"
"SL2007110","SALT LAKE CITY","5","2","90Z","900 S 400 E                                                                                             ","01/01/2007","WEL","232","01/01/2007","5309-0","PUBLIC PEACE","1895050","880164"
"SL2007112","SALT LAKE CITY","3","2","220","500 E 5TH AVE                                                                                           ","01/01/2007","AVE","211","01/01/2007","2202-0","BURGLARY","1896929","889609"
"SL2007127","SALT LAKE CITY","2","2","290","1500 W INDIANA AVE                                                                                       ","01/01/2007","POP","151","01/01/2007","2902-1","DAMAGED PROP","1879543","881058"
"SL200716","SALT LAKE CITY","4","2","0","000 S RIO GRANDE ST                                                                                     ","01/01/2007","DTN","112","01/01/2007","7399-5","PUBLIC ORDER","1888237","887060"
