"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2007123","SALT LAKE CITY","4","2","13B","700 E 400 S                                                                                             ","01/01/2007","EAC","215","01/01/2007","1313-0","ASSAULT","1897436","884344"
"SL200752","SALT LAKE CITY","3","2","0","300 W 600 N                                                                                             ","01/01/2007","CAH","111","01/01/2007","7399-3","PUBLIC ORDER","1888918","892297"
"SL200784","SALT LAKE CITY","4","2","90G","800 E 700 S                                                                                             ","01/01/2007","EAC","215","01/01/2007","4104-0","LIQUOR","1898338","882024"
"SL200787","SALT LAKE CITY","7","2","0","1000 E 1700 S                                                                                            ","01/01/2007","SUG","235","01/01/2007","5399-18","PUBLIC PEACE","1900006","874441"
"SL2007148","SALT LAKE CITY","4","2","90Z","400 S MAIN ST                                                                                           ","01/01/2007","DTN","115","01/01/2007","4902-0","ESCAPE","1891834","884387"
"SL200786","SALT LAKE CITY","4","2","90J","500 S MAIN ST                                                                                           ","01/01/2007","PEF","115","01/01/2007","5707-0","INV OF PRIVACY","1891830","883321"
"SL2007109","SALT LAKE CITY","4","2","90G","400 S MAIN ST                                                                                           ","01/01/2007","DTN","115","01/01/2007","4104-0","LIQUOR","1891834","884387"
"SL2007128","SALT LAKE CITY","4","2","13B","200 W 500 S                                                                                             ","01/01/2007","DTN","114","01/01/2007","1313-0","ASSAULT","1890024","883640"
"SL2007131","SALT LAKE CITY","3","2","13A","1600 N BECK ST                                                                                           ","01/01/2007","CAH","111","01/01/2007","1305-0","ASSAULT","1885483","899796"
"SL2007140","SALT LAKE CITY","4","2","13B","200 S WEST TEMPLE ST                                                                                    ","01/01/2007","DTN","113","01/01/2007","1313-0","ASSAULT","1891105","885480"
"SL2007155","SALT LAKE CITY","3","2","0","300 N 600 W                                                                                             ","01/01/2007","STF","111","01/01/2007","7399-1","PUBLIC ORDER","1887165","890532"
"SL2007178","SALT LAKE CITY","3","2","120","300 N 300 W                                                                                             ","01/01/2007","CAH","111","01/01/2007","1212-0","ROBBERY","1889480","890192"
"SL200764","SALT LAKE CITY","4","2","23F","200 S MAIN ST                                                                                           ","01/01/2007","DTN","113","01/01/2007","2305-0","LARCENY","1891840","885956"
"SL2007639","SALT LAKE CITY","5","3","0",,"01/02/2007","PEF","231","01/02/2007","2499-14","STOLEN VEHICLE","1892608","879358"
"SL2007177","SALT LAKE CITY","1","2","0","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2007","JOM","133","01/01/2007","7399-1","PUBLIC ORDER","1866905","891511"
"SL2007199","SALT LAKE CITY","4","2","0","300 W 200 S                                                                                             ","01/01/2007","DTN","112","01/01/2007","5399-28","PUBLIC PEACE","1889074","885961"
"SL2007183","SALT LAKE CITY","3","2","220","600 W GIRARD AVE                                                                                        ","01/01/2007","STF","111","01/01/2007","2203-0","BURGLARY","1886880","891943"
"SL2007208","SALT LAKE CITY","1","2","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/01/2007","WES","133","01/01/2007","7399-99","PUBLIC ORDER","1866562","893915"
"SL2007252","SALT LAKE CITY","1","2","90I","400 N 1400 W                                                                                            ","01/01/2007","STF","132","01/01/2007","5324-0","PUBLIC PEACE","1880871","890803"
"SL2007260","SALT LAKE CITY","2","2","90D","1400 W 400 S                                                                                             ","01/01/2007","POP","151","01/01/2007","5404-0","TRAFFIC","1880586","884467"
"SL2007278","SALT LAKE CITY","2","2","0","900 W 100 S                                                                                             ","01/01/2007","POP","151","01/01/2007","5499-5","TRAFFIC","1884385","886771"
"SL2007272","SALT LAKE CITY","1","2","0","700 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2007","WES","133","01/01/2007","7399-1","PUBLIC ORDER","1867036","893752"
"SL2007217","SALT LAKE CITY","4","2","290","800 E 600 S                                                                                             ","01/01/2007","EAC","215","01/01/2007","2902-1","DAMAGED PROP","1898368","882817"
"SL2007271","SALT LAKE CITY","1","2","220","900 W MACFARLAND DR                                                                                     ","01/01/2007","ROP","131","01/01/2007","2202-0","BURGLARY","1883966","894134"
"SL2007210","SALT LAKE CITY","4","2","23F","700 E 400 S                                                                                             ","01/01/2007","EAC","213","01/01/2007","2305-0","LARCENY","1897919","884402"
"SL2007175","SALT LAKE CITY","4","2","23F","700 E 400 S                                                                                             ","01/01/2007","EAC","213","01/01/2007","2305-0","LARCENY","1897919","884402"
"SL2007240","SALT LAKE CITY","5","2","290","100 W PAXTON AVE                                                                                        ","01/01/2007","PEF","231","01/01/2007","2902-0","DAMAGED PROP","1890536","878205"
"SL2007181","SALT LAKE CITY","4","2","90Z","600 S 200 W                                                                                             ","01/01/2007","PEF","114","01/01/2007","4902-0","ESCAPE","1890242","882671"
"SL2007189","SALT LAKE CITY","3","2","90Z","300 N 300 W                                                                                             ","01/01/2007","CAH","111","01/01/2007","4902-0","ESCAPE","1889480","890192"
"SL2007318","SALT LAKE CITY","4","2","23G","500 S DENVER ST                                                                                         ","01/01/2007","CEC","214","01/01/2007","2304-0","LARCENY","1895470","883460"
"SL2007319","SALT LAKE CITY","5","2","13B","700 E HARRISON AVE                                                                                      ","01/01/2007","EAC","232","01/01/2007","1313-0","ASSAULT","1898090","876654"
"SL2007288","SALT LAKE CITY","3","2","90Z","000 N K ST                                                                                              ","01/01/2007","AVE","211","01/01/2007","5309-0","PUBLIC PEACE","1898146","888315"
"SL2007325","SALT LAKE CITY","1","2","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/01/2007","WES","133","01/01/2007","7399-1","PUBLIC ORDER","1866562","893915"
"SL2007292","SALT LAKE CITY","2","2","23G","800 W 800 S                                                                                             ","01/01/2007","POP","151","01/01/2007","2304-0","LARCENY","1884952","881280"
"SL2007440","SALT LAKE CITY","4","2","0","400 W 200 S                                                                                             ","01/01/2007","DTN","112","01/01/2007","5499-6","TRAFFIC","1888027","885965"
"SL2007439","SALT LAKE CITY","2","2","90Z","100 N REDWOOD RD                                                                                        ","01/01/2007","JOM","132","01/01/2007","5309-0","PUBLIC PEACE","1878570","889095"
"SL2007458","SALT LAKE CITY","4","2","90D","100 W 800 S                                                                                             ","01/01/2007","PEF","115","01/01/2007","5404-0","TRAFFIC","1890572","881260"
"SL2007459","SALT LAKE CITY","4","2","13C","300 S 700 E                                                                                             ","01/01/2007","CEC","212","01/01/2007","1316-2","ASSAULT","1897384","884727"
"SL2007488","SALT LAKE CITY","1","2","90Z",,"01/01/2007","JOM","133","01/01/2007","4902-0","ESCAPE","1866905","891511"
"SL20077297","SALT LAKE CITY","2","2","0","800 W 800 S                                                                                             ","01/01/2007","POP","151","01/01/2007","7399-1","PUBLIC ORDER","1884978","881280"
"SL2007455","SALT LAKE CITY","4","2","13B","600 S 1100 E                                                                                            ","01/01/2007","EAC","215","01/01/2007","1313-0","ASSAULT","1900610","882603"
"SL2007435","SALT LAKE CITY","5","2","40A","1800 S STATE ST                                                                                          ","01/01/2007","LIW","234","01/01/2007","4004-0","COMMERCIAL SEX","1892645","873312"
"SL2007228","SALT LAKE CITY","5","2","13B","1300 S 1300 E                                                                                            ","01/01/2007","EAC","232","01/01/2007","1313-0","ASSAULT","1902112","877415"
"SL2007391","SALT LAKE CITY","2","2","0","500 N DEXTER ST                                                                                         ","01/01/2007","STF","132","01/01/2007","2499-15","STOLEN VEHICLE","1885133","891954"
"SL2007450","SALT LAKE CITY","4","2","23F","000 E EXCHANGE PL                                                                                       ","01/01/2007","DTN","113","01/01/2007","2305-0","LARCENY","1892252","884699"
"SL2007449","SALT LAKE CITY","2","2","290","2100 S REDWOOD RD                                                                                        ","01/01/2007","WSL","154","01/01/2007","2901-0","DAMAGED PROP","1878511","871706"
"SL2007280","SALT LAKE CITY","3","2","90Z","300 N 300 W                                                                                             ","01/01/2007","CAH","111","01/01/2007","4902-0","ESCAPE","1889541","890287"
"SL2007287","SALT LAKE CITY","1","2","13A","900 N 1200 W                                                                                            ","01/01/2007","ROP","131","01/01/2007","1302-0","ASSAULT","1882346","895091"
"SL2007246","SALT LAKE CITY","4","2","90J","600 S 200 W                                                                                             ","01/01/2007","PEF","114","01/01/2007","5707-0","INV OF PRIVACY","1890242","882671"
"SL2007257","SALT LAKE CITY","4","2","90G","600 S 200 W                                                                                             ","01/01/2007","PEF","114","01/01/2007","4104-0","LIQUOR","1890242","882671"
"SL2007346","SALT LAKE CITY","3","2","520","600 N 800 W                                                                                             ","01/01/2007","ROP","131","01/01/2007","5212-0","WEAPON OFFENSE","1885531","892958"
"SL2007361","SALT LAKE CITY","7","2","90Z","2700 S 2100 E                                                                                            ","01/01/2007","SUG","236","01/01/2007","5499-11","TRAFFIC","1908366","866858"
"SL2007410","SALT LAKE CITY","1","2","0","800 N 1400 W                                                                                            ","01/01/2007","ROP","131","01/01/2007","7399-11","PUBLIC ORDER","1880810","894465"
"SL2007444","SALT LAKE CITY","5","2","35A","000 W BOULEVARD GARDENS ST                                                                              ","01/01/2007","PEF","234","01/01/2007","3532-0","DRUGS","1891373","873701"
"SL2007329","SALT LAKE CITY","4","2","0","400 S 900 E                                                                                             ","01/01/2007","EAC","215","01/01/2007","7399-7","PUBLIC ORDER","1899027","883877"
"SL2007379","SALT LAKE CITY","2","2","0","400 S 900 W                                                                                             ","01/01/2007","POP","151","01/01/2007","5499-7","TRAFFIC","1884704","884410"
"SL2007291","SALT LAKE CITY","4","2","23F","600 S WEST TEMPLE ST                                                                                    ","01/01/2007","PEF","115","01/01/2007","2305-0","LARCENY","1891034","882798"
"SL2007160","SALT LAKE CITY","1","2","0","1800 W SIR TIMOTHY AVE                                                                                   ","01/01/2007","WES","131","01/01/2007","5399-28","PUBLIC PEACE","1876997","895800"
"SL2007167","SALT LAKE CITY","4","2","0","900 E 200 S                                                                                             ","01/01/2007","EAC","213","01/01/2007","7399-1","PUBLIC ORDER","1899556","885920"
"SL2007236","SALT LAKE CITY","5","2","0","1100 E BRYAN AVE                                                                                         ","01/01/2007","EAC","232","01/01/2007","7399-5","PUBLIC ORDER","1900779","875175"
"SL2007186","SALT LAKE CITY","6","2","90G","2000 E REDONDO PL                                                                                        ","01/01/2007","SUG","236","01/01/2007","4104-0","LIQUOR","1907892","872041"
"SL2007303","SALT LAKE CITY","3","2","90Z","700 E 10TH AVE                                                                                          ","01/01/2007","AVE","211","01/01/2007","5309-0","PUBLIC PEACE","1898588","891720"
"SL2007313","SALT LAKE CITY","5","2","0","500 E DOWNINGTON AVE                                                                                    ","01/01/2007","LIW","234","01/01/2007","7399-5","PUBLIC ORDER","1895990","873304"
"SL200762239","MAGNA",,"5","90Z",,"04/12/2007","11","11","04/12/2007","3599-99","DRUGS","1826034","884694"
"SL2007173","SALT LAKE CITY","7","2","0","700 E DOWNINGTON AVE                                                                                    ","01/01/2007","SUG","235","01/01/2007","7399-11","PUBLIC ORDER","1897594","873329"
"SL2007336","SALT LAKE CITY","1","2","13B","1200 W LAFAYETTE DR                                                                                      ","01/01/2007","ROP","131","01/01/2007","1313-0","ASSAULT","1881852","893168"
"SL2007334","SALT LAKE CITY","4","2","0","600 S 700 E                                                                                             ","01/01/2007","CEC","214","01/01/2007","7399-7","PUBLIC ORDER","1897374","882290"
"SL2007388","SALT LAKE CITY","2","2","90Z","900 W 800 S                                                                                             ","01/01/2007","POP","151","01/01/2007","4902-0","ESCAPE","1884709","881281"
"SL2007324","DRAPER",,"2","90Z",,"01/01/2007","53","53","01/01/2007","4902-0","ESCAPE","1891632","786936"
"SL2007351","SALT LAKE CITY","5","2","13B","1800 S WEST TEMPLE ST                                                                                    ","01/01/2007","PEF","234","01/01/2007","1313-0","ASSAULT","1890998","873676"
"SL2007415","SALT LAKE CITY","2","2","13A","1200 W HARRIS AVE                                                                                        ","01/01/2007","WSL","153","01/01/2007","1304-0","ASSAULT","1881866","875069"
"SL2007295","SALT LAKE CITY","4","2","290","100 E 300 S                                                                                             ","01/01/2007","CEC","113","01/01/2007","2901-0","DAMAGED PROP","1892783","885213"
"SL2007323","SALT LAKE CITY","4","2","0","300 E 200 S                                                                                             ","01/01/2007","CEC","212","01/01/2007","7399-1","PUBLIC ORDER","1894390","886000"
"SL2007342","SALT LAKE CITY","7","2","0","2500 E ELM AVE                                                                                           ","01/01/2007","SUG","236","01/01/2007","5399-28","PUBLIC PEACE","1911817","871119"
"SL2007366","SALT LAKE CITY","1","2","90Z","1200 W LAFAYETTE DR                                                                                      ","01/01/2007","ROP","131","01/01/2007","4902-0","ESCAPE","1881852","893168"
"SL2007372","SALT LAKE CITY","4","2","35B","000 S RIO GRANDE ST                                                                                     ","01/01/2007","DTN","112","01/01/2007","3550-0","DRUGS","1888237","887060"
"SL2007367","SALT LAKE CITY","2","2","13C","1100 S 1100 W                                                                                            ","01/01/2007","WSL","152","01/01/2007","1316-2","ASSAULT","1883167","878823"
"SL2007359","SALT LAKE CITY","3","2","0","500 W 200 N                                                                                             ","01/01/2007","STF","111","01/01/2007","5399-23","PUBLIC PEACE","1887378","889195"
"SL2007350","SALT LAKE CITY","7","2","23D","1100 E ASHTON AVE                                                                                        ","01/01/2007","SUG","235","01/01/2007","2308-0","LARCENY","1900708","869772"
"SL2007345","SALT LAKE CITY","3","2","90A","800 E 1ST AVE                                                                                           ","01/01/2007","AVE","211","01/01/2007","2606-0","FRAUD","1899069","888004"
"SL2007374","SALT LAKE CITY","2","2","0","900 W 800 S                                                                                             ","01/01/2007","POP","151","01/01/2007","5399-28","PUBLIC PEACE","1884709","881281"
"SL2007407","SALT LAKE CITY","4","2","35B","200 S RIO GRANDE ST                                                                                     ","01/01/2007","DTN","112","01/01/2007","3550-0","DRUGS","1888237","885523"
"SL2007425","SALT LAKE CITY","3","2","23G","400 E 6TH AVE                                                                                           ","01/01/2007","AVE","211","01/01/2007","2304-0","LARCENY","1895664","890030"
"SL2007316","SALT LAKE CITY","4","2","290","000 W 100 S                                                                                             ","01/01/2007","DTN","113","01/01/2007","2901-0","DAMAGED PROP","1891405","886743"
"SL2007519","SALT LAKE CITY","3","2","23D","200 N E ST                                                                                              ","01/01/2007","AVE","211","01/02/2007","2308-0","LARCENY","1895604","889886"
"SL2007294","SALT LAKE CITY","4","2","90C","200 S RIO GRANDE ST                                                                                     ","01/01/2007","DTN","112","01/01/2007","7299-3","MORALS-DECENCY","1888237","885591"
"SL2007389","SALT LAKE CITY","4","2","35A","300 S 600 W                                                                                             ","01/01/2007","DTN","112","01/01/2007","3562-0","DRUGS","1887084","885181"
"SL2007603","SALT LAKE CITY","5","2","240","1800 S EDISON ST                                                                                         ","01/01/2007","LIW","234","01/02/2007","2499-17","STOLEN VEHICLE","1892965","872931"
"SL2007553","SALT LAKE CITY","5","2","220","200 W PAXTON AVE                                                                                        ","01/01/2007","PEF","231","01/02/2007","2205-0","BURGLARY","1890093","878178"
"SL2007290","SALT LAKE CITY","4","2","290","500 S 200 E                                                                                             ","01/01/2007","CEC","115","01/01/2007","2902-0","DAMAGED PROP","1893475","883156"
"SL2007184","SALT LAKE CITY","4","2","26C","200 W 500 S                                                                                             ","01/01/2007","DTN","114","01/01/2007","2699-11","FRAUD","1889872","883640"
"SL2007652","SALT LAKE CITY",,"2","23G","000 CACTUS ST                                                                                           ","01/01/2007","PEF","113","01/02/2007","2304-0","LARCENY","1892264","884669"
"SL2007262","SALT LAKE CITY","4","2","0","500 S STATE ST                                                                                          ","01/01/2007","PEF","115","01/01/2007","5499-8","TRAFFIC","1892624","883577"
"SL2007396","SALT LAKE CITY",,"2","0","000 SUNNYSIDE AVE                                                                                       ","01/01/2007","EAB","233","01/01/2007","5499-8","TRAFFIC","1909704","880712"
"SL2007279","SALT LAKE CITY","2","2","0","1300 S 500 W                                                                                             ","01/01/2007","WSL","153","01/01/2007","5499-8","TRAFFIC","1887835","877384"
"SL2007481","SALT LAKE CITY","5","2","35B","800 E 900 S                                                                                             ","01/01/2007","EAL","232","01/02/2007","3550-0","DRUGS","1898844","880379"
"SL2007478","SALT LAKE CITY","5","2","13B","000 W BOULEVARD GARDENS ST                                                                              ","01/01/2007","PEF","234","01/02/2007","4801-0","OBST POLICE","1891373","873701"
"SL2007446","SALT LAKE CITY","5","2","26B","800 E 900 S                                                                                             ","01/01/2007","EAL","232","01/02/2007","2605-0","FRAUD","1898844","880379"
"SL2007387","SALT LAKE CITY","2","2","90Z","1100 S 900 W                                                                                             ","01/01/2007","WSL","152","01/01/2007","4902-0","ESCAPE","1884740","878593"
"SL2007368","SALT LAKE CITY","7","2","90C","2200 S HIGHLAND DR                                                                                       ","01/01/2007","SUG","236","01/01/2007","5311-0","PUBLIC PEACE","1900722","870700"
"SL2007328","SALT LAKE CITY","7","2","90Z","2100 E 2700 S                                                                                            ","01/01/2007","SUG","236","01/01/2007","4902-0","ESCAPE","1908665","866893"
"SL2007956","SALT LAKE CITY","4","2","0","000 S RIO GRANDE ST                                                                                     ","01/01/2007","DTN","112","01/02/2007","7399-6","PUBLIC ORDER","1888237","887060"
"SL20071153","SALT LAKE CITY","4","2","0","100 S HAWKES CT                                                                                         ","01/01/2007","CEC","212","01/03/2007","7399-7","PUBLIC ORDER","1897056","886285"
"SL20071261","SALT LAKE CITY","5","2","13A","900 S MAIN ST                                                                                           ","01/01/2007","PEF","231","01/03/2007","1303-0","ASSAULT","1891876","879527"
"SL20072211","SALT LAKE CITY","4","2","0","600 S 200 W                                                                                             ","01/01/2007","PEF","114","01/04/2007","7399-7","PUBLIC ORDER","1890242","882793"
"SL20071433","SALT LAKE CITY","5","2","0","100 E HERBERT AVE                                                                                       ","01/01/2007","WEL","231","01/03/2007","7399-5","PUBLIC ORDER","1892949","879037"
"SL20072667","SALT LAKE CITY","2","2","90I","200 S 1400 W                                                                                            ","01/01/2007","POP","151","01/05/2007","5324-0","PUBLIC PEACE","1880810","885887"
"SL2007381","SALT LAKE CITY","2","2","35B","800 S 900 W                                                                                             ","01/01/2007","POP","152","01/01/2007","3550-0","DRUGS","1884691","881239"
"SL20074497","SALT LAKE CITY","1","2","23H","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2007","JOM","133","01/01/2007","2399-19","LARCENY","1866905","891511"
"SL20076869","SALT LAKE CITY","2","2","0","1200 S 500 W                                                                                             ","01/01/2007","WSL","152","01/12/2007","2499-15","STOLEN VEHICLE","1887909","878533"
"SL20078992","SALT LAKE CITY","4","2","240","400 E 300 S                                                                                             ","01/01/2007","CEC","212","01/16/2007","2499-17","STOLEN VEHICLE","1895520","885143"
"SL2007250","SALT LAKE CITY","3","2","23H","300 N H ST                                                                                              ","01/01/2007","AVE","211","01/01/2007","2309-0","LARCENY","1896919","890686"
"SL2007191","SALT LAKE CITY","3","2","290","300 N H ST                                                                                              ","01/01/2007","AVE","211","01/01/2007","2902-0","DAMAGED PROP","1896857","890323"
"SL2007152","SALT LAKE CITY","6","2","23F","1300 E LOGAN AVE                                                                                         ","01/01/2007","WAH","233","01/01/2007","2305-0","LARCENY","1902348","874757"
"SL2007194","SALT LAKE CITY","4","2","23F","200 S ELIZABETH ST                                                                                      ","01/01/2007","EAC","213","01/01/2007","2305-0","LARCENY","1900978","885762"
"SL2007195","SALT LAKE CITY","4","2","23D","100 S WEST TEMPLE ST                                                                                    ","01/01/2007","DTN","113","01/01/2007","2308-0","LARCENY","1891050","886735"
"SL200712863","SALT LAKE CITY","4","2","90Z","800 E 600 S                                                                                             ","01/01/2007","EAC","215","01/01/2007","4902-0","ESCAPE","1898368","882817"
"SL2007309","SALT LAKE CITY","4","2","290","100 E 300 S                                                                                             ","01/01/2007","CEC","113","01/01/2007","2902-0","DAMAGED PROP","1892783","885213"
"SL2007225","SALT LAKE CITY","2","2","23F","3100 W CALIFORNIA AVE                                                                                    ","01/01/2007","WSL","154","01/01/2007","2305-0","LARCENY","1871150","877148"
"SL2007398","SALT LAKE CITY","2","2","290","2000 W NORTH TEMPLE RAMP                                                                                 ","01/01/2007","POP","133","01/01/2007","2902-0","DAMAGED PROP","1875311","888342"
"SL2007229","SALT LAKE CITY","1","2","23F","200 N ADMIRAL BYRD RD                                                                                   ","01/01/2007","JOM","133","01/01/2007","2305-0","LARCENY","1855590","889247"
"SL2007456","SALT LAKE CITY","7","2","290","1200 E 2100 S                                                                                            ","01/01/2007","SUG","236","01/01/2007","2902-1","DAMAGED PROP","1901494","871487"
"SL2007238","SALT LAKE CITY","7","2","290","2400 S 1700 E                                                                                            ","01/01/2007","SUG","236","01/01/2007","2902-0","DAMAGED PROP","1905403","868704"
"SL2007241","SALT LAKE CITY","5","2","23F","700 E KENSINGTON AVE                                                                                    ","01/01/2007","EAC","232","01/01/2007","2305-0","LARCENY","1897538","875559"
"SL2007204","SALT LAKE CITY","7","2","290","2300 S HIGHLAND DR                                                                                       ","01/01/2007","SUG","235","01/01/2007","2902-0","DAMAGED PROP","1900948","869894"
"SL2007211","SALT LAKE CITY","6","2","23F","2300 E 900 S                                                                                             ","01/01/2007","SUE","233","01/01/2007","2305-0","LARCENY","1910534","880191"
"SL2007243","SALT LAKE CITY","5","2","23F","1200 E 1700 S                                                                                            ","01/01/2007","EAC","232","01/01/2007","2305-0","LARCENY","1901791","874494"
"SL2007216","SALT LAKE CITY","4","2","23F","300 S STATE ST                                                                                          ","01/01/2007","DTN","113","01/01/2007","2305-0","LARCENY","1892629","884878"
"SL2007276","SALT LAKE CITY","3","2","23F","200 W FERN AVE                                                                                          ","01/01/2007","CAH","111","01/01/2007","2305-0","LARCENY","1889889","893308"
"SL2007223","SALT LAKE CITY","4","2","290","300 S DOUGLAS ST                                                                                        ","01/01/2007","EAC","213","01/01/2007","2902-0","DAMAGED PROP","1901808","885095"
"SL2007277","SALT LAKE CITY","3","2","23F","900 E 3RD AVE                                                                                           ","01/01/2007","AVE","211","01/01/2007","2305-0","LARCENY","1900507","888765"
"SL2007283","SALT LAKE CITY","1","2","23F","1200 N FORBES PARK WAY                                                                                   ","01/01/2007","WES","131","01/01/2007","2305-0","LARCENY","1878105","897821"
"SL2007296","SALT LAKE CITY","4","2","23F","300 S STATE ST                                                                                          ","01/01/2007","DTN","113","01/01/2007","2305-0","LARCENY","1892631","885175"
"SL200714639","SALT LAKE CITY","5","2","13B","1200 E 1300 S                                                                                            ","01/01/2007","EAC","232","01/25/2007","1313-0","ASSAULT","1901497","877397"
"SL200725631","SALT LAKE CITY","3","2","23H","1600 N BECK ST                                                                                           ","01/01/2007","CAH","111","02/12/2007","2399-0","LARCENY","1885650","899621"
"SL200725532","SALT LAKE CITY","4","2","26A","300 W 900 S                                                                                             ","01/01/2007","PEF","114","02/12/2007","2699-0","FRAUD","1888862","880473"
"SL200751631","SALT LAKE CITY","4","2","240","200 S 1100 E                                                                                            ","01/01/2007","EAC","213","03/25/2007","2499-17","STOLEN VEHICLE","1900565","885937"
"SL20072514","SALT LAKE CITY",,"6","0",,"01/05/2007","40","40","01/05/2007","7399-1","PUBLIC ORDER","1867343","892321"
"SL200776163","SALT LAKE CITY","3","2","13C","500 E 11TH AVE                                                                                          ","01/01/2007","AVE","211","05/01/2007","1316-3","ASSAULT","1897150","892142"
"SL2007110679","SALT LAKE CITY","3","2","26A","100 N 400 W                                                                                             ","01/01/2007","CAH","111","06/20/2007","2699-0","FRAUD","1888683","888807"
"SL2008142126","SALT LAKE CITY","4","2","26C","300 E 200 S                                                                                             ","01/01/2007","CEC","212","07/21/2008","2604-0","FRAUD","1894390","886000"
"SL2010199502","SALT LAKE CITY","3","2","90Z","200 E 11TH AVE                                                                                          ","01/01/2007","AVE","211","11/16/2010","4802-0","OBST POLICE","1894463","892161"
"SL201164927","SALT LAKE CITY","4","2","26C","200 S MAIN ST                                                                                           ","01/01/2007","DTN","113","04/22/2011","2699-1","FRAUD","1891897","885211"
"SL20138947","SALT LAKE CITY","1","2","23D","1000 N 900 W                                                                                             ","01/01/2007","111","Z1","01/18/2013","2308-0","LARCENY","1884631","895732"
"SL2007689","SALT LAKE CITY","4","3","90Z","300 S MAIN ST                                                                                           ","01/02/2007","DTN","113","01/02/2007","4902-0","ESCAPE","1891894","884580"
"SL2007669","SALT LAKE CITY","4","3","250","300 S MAIN ST                                                                                           ","01/02/2007","DTN","113","01/02/2007","2501-0","FORGERY","1891894","884580"
"SL2007483","SALT LAKE CITY","5","3","240","500 E 1700 S                                                                                            ","01/02/2007","LIW","232","01/02/2007","2499-17","STOLEN VEHICLE","1896113","874518"
"SL2007492","SALT LAKE CITY","4","3","90J","200 E 300 S                                                                                             ","01/02/2007","CEC","113","01/02/2007","5707-0","INV OF PRIVACY","1893926","885209"
"SL2007502","SALT LAKE CITY","3","3","23H","500 W 300 N                                                                                             ","01/02/2007","STF","111","01/02/2007","2309-0","LARCENY","1887724","889986"
"SL2007515","SALT LAKE CITY","2","3","240","1100 W INDIANA AVE                                                                                       ","01/02/2007","POP","151","01/02/2007","2499-13","STOLEN VEHICLE","1883060","881051"
"SL2007520","SALT LAKE CITY","4","3","90J","000 S RIO GRANDE ST                                                                                     ","01/02/2007","DTN","112","01/02/2007","5707-0","INV OF PRIVACY","1888237","887060"
"SL2007535","SALT LAKE CITY","2","3","0",,"01/02/2007","WSL","154","01/02/2007","5499-7","TRAFFIC","1869054","879107"
"SL2007542","SALT LAKE CITY","1","3","0","900 N 900 W                                                                                             ","01/02/2007","ROP","131","01/02/2007","5499-5","TRAFFIC","1884808","895132"
"SL2007527","SALT LAKE CITY","1","3","23G","1300 W DUPONT AVE                                                                                        ","01/02/2007","ROP","131","01/02/2007","2304-0","LARCENY","1880887","898037"
"SL2007578","SALT LAKE CITY","4","3","35B","200 S 500 W                                                                                             ","01/02/2007","DTN","112","01/02/2007","3550-0","DRUGS","1887939","885945"
"SL2007491","SALT LAKE CITY","4","3","0","000 S 400 E                                                                                             ","01/02/2007","CEC","212","01/02/2007","7399-1","PUBLIC ORDER","1895076","887010"
