"case","city","council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2012157","SALT LAKE CITY","2","1","13A","1000 S CONCORD ST","2012-01-01T03:39:00.000","122","Z2","2012-01-01T03:39:00.000","1302-0","ASSAULT","1881937","879439"
"SL2012172","SALT LAKE CITY","4","1","0","300 W PIERPONT AVE","2012-01-01T04:29:00.000","132","Z3","2012-01-01T04:29:00.000","7399-25","PUBLIC ORDER","1889146","885537"
"SL201285","SALT LAKE CITY","4","1","23F","100 S 600 W","2012-01-01T01:51:00.000","132","Z3","2012-01-01T01:51:00.000","2305-0","LARCENY","1887090","886767"
"SL201280","SALT LAKE CITY","2","1","13B","100 N REDWOOD RD","2012-01-01T01:40:00.000","112","Z1","2012-01-01T01:40:00.000","1313-0","ASSAULT","1878570","889095"
"SL201266","SALT LAKE CITY","3","1","13B","400 E SOUTH TEMPLE ST","2012-01-01T01:26:00.000","141","Z4","2012-01-01T01:26:00.000","1313-0","ASSAULT","1895356","887580"
"SL201265","SALT LAKE CITY","5","1","13B","1300 S STATE ST","2012-01-01T02:49:00.000","152","Z5","2012-01-01T02:49:00.000","1313-0","ASSAULT","1892599","877199"
"SL201251","SALT LAKE CITY","4","1","90E","400 S 400 E","2012-01-01T00:53:00.000","144","Z4","2012-01-01T01:38:00.000","7399-26","PUBLIC ORDER","1895066","884207"
"SL201244","SALT LAKE CITY","4","1","90E","500 W 200 S","2012-01-01T00:50:00.000","132","Z3","2012-01-01T01:00:00.000","7399-26","PUBLIC ORDER","1887463","886027"
"SL2012173","SALT LAKE CITY","7","1","0","3200 S RICHMOND ST","2012-01-01T04:31:00.000","162","Z6","2012-01-01T04:31:00.000","5399-23","PUBLIC PEACE","1901960","862699"
"SL2012165","SALT LAKE CITY","2","1","23C","1600 S REDWOOD RD","2012-01-01T04:04:00.000","124","Z2","2012-01-01T04:04:00.000","2303-0","LARCENY","1878521","874511"
"SL2012161","SALT LAKE CITY","7","1","23H","2100 S 700 E","2012-01-01T03:47:00.000","162","Z6","2012-01-01T03:47:00.000","2399-0","LARCENY","1897319","871481"
"SL2012156","SALT LAKE CITY","2","1","13B","1900 W NORTH TEMPLE ST","2012-01-01T03:39:00.000","113","Z1","2012-01-01T03:39:00.000","1313-0","ASSAULT","1875968","888398"
"SL2012140","SALT LAKE CITY","4","1","0","1000 E 500 S","2012-01-01T03:13:00.000","143","Z4","2012-01-01T03:13:00.000","7399-16","PUBLIC ORDER","1900218","883602"
"SL2012135","SALT LAKE CITY","4","1","0","200 W 200 S","2012-01-01T03:02:00.000","132","Z3","2012-01-01T03:02:00.000","5399-28","PUBLIC PEACE","1890027","886017"
"SL2012133","SALT LAKE CITY","1","1","90E","1600 W TALISMAN CIR","2012-01-01T03:01:00.000","111","Z1","2012-01-01T03:01:00.000","7399-26","PUBLIC ORDER","1879148","894330"
"SL2012245","SALT LAKE CITY","1","1","290","700 N TERMINAL DR","2012-01-01T09:52:00.000","113","Z1","2012-01-01T09:52:00.000","2901-0","DAMAGED PROP","1865746","891599"
"SL201252","SALT LAKE CITY",,"1","0","FOOTHILL DR / MARIO CAPECCHI DR","2012-01-01T01:48:00.000","143","Z4","2012-01-01T01:48:00.000","5499-8","TRAFFIC","1906906","883637"
"SL2012216","SALT LAKE CITY","5","1","13A","1500 S STATE ST","2012-01-01T07:48:00.000","152","Z5","2012-01-01T07:48:00.000","1310-0","ASSAULT","1892651","875057"
"SL2012232","SALT LAKE CITY","3","1","0","100 N F ST","2012-01-01T09:31:00.000","141","Z4","2012-01-01T09:31:00.000","7399-25","PUBLIC ORDER","1896016","888464"
"SL2012254","SALT LAKE CITY","1","1","90I","1700 W SHANNON CIR","2012-01-01T10:54:00.000","113","Z1","2012-01-01T10:54:00.000","5324-0","PUBLIC PEACE","1877671","891071"
"SL2012257","SALT LAKE CITY","5","1","290","100 E BELMONT AVE","2012-01-01T10:40:00.000","152","Z5","2012-01-01T11:01:00.000","2902-0","DAMAGED PROP","1893243","879783"
"SL2012246","SALT LAKE CITY","2","1","90E","02 0/2 S RIO GRANDE ST","2012-01-01T10:12:00.000","132","Z3","2012-01-01T11:24:00.000","7399-26","PUBLIC ORDER","1888267","865698"
"SL2012242","SALT LAKE CITY","3","1","0","900 E 2ND AVE","2012-01-01T00:01:00.000","141","Z4","2012-01-01T10:05:00.000","5399-28","PUBLIC PEACE","1900230","888413"
"SL2012228","SALT LAKE CITY","4","1","23F","200 S WEST TEMPLE ST","2012-01-01T05:30:00.000","133","Z3","2012-01-01T09:13:00.000","2305-0","LARCENY","1891047","885912"
"SL2012227","SALT LAKE CITY",,"1","23F","500 W ECCLES AVE","2012-01-01T00:01:00.000",,,"2012-01-01T08:48:00.000","2305-0","LARCENY",,
"SL2012226","SALT LAKE CITY","6","1","0","1900 S 2500 E","2012-01-01T08:43:00.000","163","Z6","2012-01-01T08:43:00.000","7399-24","PUBLIC ORDER","1911720","872447"
"SL2012225","SALT LAKE CITY","5","1","0","900 S 200 W","2012-01-01T08:40:00.000","135","Z3","2012-01-01T08:40:00.000","5399-23","PUBLIC PEACE","1890292","880200"
"SL2012222","SALT LAKE CITY","7","1","90G","800 E FAIRMONT CIR","2012-01-01T08:18:00.000","162","Z6","2012-01-01T08:18:00.000","4102-0","LIQUOR","1898570","868625"
"SL2012218","SALT LAKE CITY","2","1","90Z","700 W NORTH TEMPLE ST","2012-01-01T08:01:00.000","112","Z1","2012-01-01T08:42:00.000","4902-0","ESCAPE","1885901","888419"
"SL2012294","SALT LAKE CITY","4","1","240","300 S 600 W","2012-01-01T12:27:00.000","132","Z3","2012-01-01T12:27:00.000","2499-13","STOLEN VEHICLE","1887084","885181"
"SL2012210","SALT LAKE CITY","3","1","13B","300 W 500 N","2012-01-01T07:52:00.000","131","Z3","2012-01-01T08:33:00.000","1313-0","ASSAULT","1888966","891505"
"SL2012192","SALT LAKE CITY","4","1","290","100 W 300 S","2012-01-01T04:30:00.000","133","Z3","2012-01-01T05:24:00.000","2902-0","DAMAGED PROP","1890965","885220"
"SL2012175","SALT LAKE CITY","4","1","11A","200 S WEST TEMPLE ST","2012-01-01T03:00:00.000","133","Z3","2012-01-01T04:32:00.000","1198-0","SEXUAL ASSAULT","1891047","885912"
"SL2012205","SALT LAKE CITY","3","1","90J","200 W NORTH TEMPLE ST","2012-01-01T06:45:00.000","131","Z3","2012-01-01T06:45:00.000","5707-0","INV OF PRIVACY","1890226","888402"
"SL2012281","SALT LAKE CITY","1","1","90Z","1000 W 800 N","2012-01-01T11:57:00.000","111","Z1","2012-01-01T11:57:00.000","3599-1","DRUGS","1883644","893923"
"SL2012258","SALT LAKE CITY","4","1","23F","100 W PIERPONT AVE","2012-01-01T11:00:00.000","133","Z3","2012-01-01T11:54:00.000","2305-0","LARCENY","1890605","885618"
"SL2012252","SALT LAKE CITY","2","1","23F","02 0/2 S RIO GRANDE ST","2012-01-01T08:00:00.000","132","Z3","2012-01-01T10:48:00.000","2305-0","LARCENY","1888267","865698"
"SL2012217","SALT LAKE CITY","5","1","0","1800 S 200 E","2012-01-01T07:53:00.000","161","Z6","2012-01-01T07:53:00.000","2499-15","STOLEN VEHICLE","1893319","872869"
"SL2012213","SALT LAKE CITY","2","1","23C","1900 S 3230 W","2012-01-01T07:13:00.000","124","Z2","2012-01-01T07:13:00.000","2303-0","LARCENY","1870484","872816"
"SL2012207","SALT LAKE CITY","2","1","23C","400 S REDWOOD RD","2012-01-01T06:53:00.000","121","Z2","2012-01-01T06:53:00.000","2303-0","LARCENY","1878614","884234"
"SL2012301","SALT LAKE CITY","4","1","90C","300 S MAIN ST","2012-01-01T12:44:00.000","133","Z3","2012-01-01T13:20:00.000","5399-12","PUBLIC PEACE","1891836","885175"
"SL2012279","SALT LAKE CITY","2","1","0","2100 W NORTH TEMPLE ST","2012-01-01T11:55:00.000","113","Z1","2012-01-01T11:55:00.000","7399-1","PUBLIC ORDER","1874746","888403"
"SL2012299","SALT LAKE CITY","1","1","520","700 N TERMINAL NORTHBOUND DR","2012-01-01T12:19:00.000","113","Z1","2012-01-01T12:42:00.000","5212-0","WEAPON OFFENSE","1867036","893752"
"SL2012310","SALT LAKE CITY","2","1","13B","800 W MONTAGUE AVE","2012-01-01T13:26:00.000","122","Z2","2012-01-01T13:26:00.000","1313-0","ASSAULT","1885439","880126"
"SL2012353","SALT LAKE CITY","5","1","35B","1300 S MAIN ST","2012-01-01T15:23:00.000","152","Z5","2012-01-01T15:55:00.000","3550-0","DRUGS","1891808","877436"
"SL2012337","SALT LAKE CITY","5","1","13B","300 E SHERMAN AVE","2012-01-01T15:07:00.000","153","Z5","2012-01-01T15:07:00.000","1313-0","ASSAULT","1894332","877175"
"SL2012341","SALT LAKE CITY","2","1","520","900 S 800 W","2012-01-01T15:00:00.000","122","Z2","2012-01-01T15:00:00.000","5203-0","WEAPON OFFENSE","1885480","880443"
"SL2012297","SALT LAKE CITY","5","1","90Z","600 E 900 S","2012-01-01T12:37:00.000","153","Z5","2012-01-01T13:30:00.000","4902-0","ESCAPE","1896625","880386"
"SL2012311","SALT LAKE CITY","4","1","23H","200 W 500 S","2012-01-01T13:20:00.000","134","Z3","2012-01-01T13:31:00.000","2399-0","LARCENY","1890018","883640"
"SL2012340","SALT LAKE CITY","1","1","13B","1300 N GENERAL DR","2012-01-01T05:00:00.000","111","Z1","2012-01-01T14:44:00.000","1313-0","ASSAULT","1876157","898473"
"SL2012368","SALT LAKE CITY","7","1","90I","2600 S 1000 E","2012-01-01T16:01:00.000","162","Z6","2012-01-01T16:01:00.000","5324-0","PUBLIC PEACE","1899736","867092"
"SL2012333","SALT LAKE CITY","4","1","23F","500 W SOUTH TEMPLE ST","2012-01-01T14:15:00.000","132","Z3","2012-01-01T14:17:00.000","2305-0","LARCENY","1887519","887581"
"SL2012316","SALT LAKE CITY","2","1","13C","1000 S EMERY ST","2012-01-01T13:55:00.000","122","Z2","2012-01-01T13:55:00.000","1316-3","ASSAULT","1882497","879102"
"SL2012318","SALT LAKE CITY","C","1","23F","WEST TEMPLE ST / PIERPONT AVE","2012-01-01T13:59:00.000","133","Z3","2012-01-01T13:59:00.000","2305-0","LARCENY","1891076","885586"
"SL2012360","SALT LAKE CITY","4","1","23C","600 S STATE ST","2012-01-01T15:38:00.000","135","Z3","2012-01-01T15:38:00.000","2303-0","LARCENY","1892619","882148"
"SL2012402","SALT LAKE CITY","1","1","0","3700 W TERMINAL WESTBOUND DR","2012-01-01T17:16:00.000","113","Z1","2012-01-01T17:16:00.000","7399-1","PUBLIC ORDER","1866560","893915"
"SL2012407","SALT LAKE CITY","2","1","13B","100 S RIO GRANDE ST","2012-01-01T17:19:00.000","132","Z3","2012-01-01T17:19:00.000","1313-0","ASSAULT","1888267","865698"
"SL2012453","SALT LAKE CITY","5","1","13B","1100 S 500 E","2012-01-01T19:12:00.000","153","Z5","2012-01-01T19:12:00.000","1313-0","ASSAULT","1895775","878367"
"SL2012383","SALT LAKE CITY","5","1","290","1600 S 1100 E","2012-01-01T16:37:00.000","153","Z5","2012-01-01T16:37:00.000","2902-0","DAMAGED PROP","1900578","874865"
"SL2012355","SALT LAKE CITY","3","1","220","100 W GIRARD AVE","2012-01-01T15:29:00.000","131","Z3","2012-01-01T15:29:00.000","2202-0","BURGLARY","1890702","891947"
"SL2012244","SALT LAKE CITY","2","1","0","1500 W SECRET GARDEN PL","2012-01-01T10:10:00.000","123","Z2","2012-01-01T10:10:00.000","5499-8","TRAFFIC","1879327","874943"
"SL2012302","SALT LAKE CITY","4","1","250","200 S DOUGLAS ST","2012-01-01T12:49:00.000","143","Z4","2012-01-01T19:52:00.000","2504-0","FORGERY","1901751","885629"
"SL2012485","SALT LAKE CITY","4","1","240","200 W PIERPONT AVE","2012-01-01T20:27:00.000","133","Z3","2012-01-01T20:27:00.000","2499-13","STOLEN VEHICLE","1890307","885619"
"SL2012345","SALT LAKE CITY",,"1","23C","3200 S 1300 E","2012-01-01T14:58:00.000","162","Z6","2012-01-01T14:58:00.000","2303-0","LARCENY","1902064","861519"
"SL2012359","SALT LAKE CITY","7","1","0","2700 S 900 E","2012-01-01T15:36:00.000","162","Z6","2012-01-01T15:36:00.000","7399-1","PUBLIC ORDER","1898881","866872"
"SL2012365","SALT LAKE CITY","3","1","0","300 N C ST","2012-01-01T15:44:00.000","141","Z4","2012-01-01T15:44:00.000","5399-23","PUBLIC PEACE","1894840","890813"
"SL2012470","SALT LAKE CITY","1","1","90J","700 N TERMINAL NORTHBOUND DR","2012-01-01T19:40:00.000","113","Z1","2012-01-01T19:54:00.000","5707-0","INV OF PRIVACY","1867036","893752"
"SL2012493","SALT LAKE CITY","1","1","0","3700 W TERMINAL WESTBOUND DR","2012-01-01T20:35:00.000","113","Z1","2012-01-01T20:40:00.000","7399-1","PUBLIC ORDER","1866560","893915"
"SL2012405","SALT LAKE CITY","5","1","0","300 W 1500 S","2012-01-01T17:14:00.000","152","Z5","2012-01-01T17:14:00.000","7399-3","PUBLIC ORDER","1888969","875877"
"SL2012334","SALT LAKE CITY","1","1","90I","1800 W ARIES CIR","2012-01-01T14:20:00.000","113","Z1","2012-01-01T14:20:00.000","5324-0","PUBLIC PEACE","1877498","889430"
"SL2012525","SALT LAKE CITY","1","1","90Z","500 N TERMINAL NORTHBOUND DR","2012-01-01T22:21:00.000","113","Z1","2012-01-01T22:21:00.000","5401-0","TRAFFIC","1866905","891511"
"SL2012414","SALT LAKE CITY","4","1","90Z","100 S RIO GRANDE ST","2012-01-01T17:19:00.000","132","Z3","2012-01-01T20:14:00.000","4902-0","ESCAPE","1888250","886781"
"SL2012428","SALT LAKE CITY","2","1","13B","400 S GOSHEN ST","2012-01-01T18:08:00.000","121","Z2","2012-01-01T18:08:00.000","4801-0","OBST POLICE","1883626","883885"
"SL2012389","SALT LAKE CITY","2","1","13B","700 W NORTH TEMPLE ST","2012-01-01T16:44:00.000","112","Z1","2012-01-01T16:44:00.000","1313-0","ASSAULT","1885901","888419"
"SL2012440","EAST MILLCREEK","SL","1","290","2800 E CRAIG DR","2012-01-01T18:25:00.000","4","4","2012-01-01T18:25:00.000","2902-0","DAMAGED PROP","1913831","859320"
"SL2012452","SALT LAKE CITY","5","1","23F","1400 S STATE ST","2012-01-01T19:12:00.000","152","Z5","2012-01-01T19:12:00.000","2305-0","LARCENY","1892656","876351"
"SL2012187","SALT LAKE CITY","3","1","35A","400 N CENTER ST","2012-01-01T04:49:00.000","131","Z3","2012-01-01T06:06:00.000","3562-0","DRUGS","1891024","891136"
"SL2012373","SALT LAKE CITY","5","1","35A","300 W 1700 S","2012-01-01T16:40:00.000","152","Z5","2012-01-01T16:56:00.000","3562-0","DRUGS","1889043","874548"
"SL2012411","SALT LAKE CITY","4","1","0","200 S DOUGLAS ST","2012-01-01T17:31:00.000","143","Z4","2012-01-01T17:31:00.000","7399-3","PUBLIC ORDER","1901751","885629"
"SL2012557","SALT LAKE CITY","1","1","240","600 N REDWOOD RD","2012-01-01T23:55:00.000","112","Z1","2012-01-01T23:55:00.000","2499-13","STOLEN VEHICLE","1878560","893036"
"SL2012433","SALT LAKE CITY","4","1","90G","600 W 200 S","2012-01-01T18:14:00.000","132","Z3","2012-01-01T18:52:00.000","4104-0","LIQUOR","1887093","886028"
"SL2012437","SALT LAKE CITY","5","1","0","1000 S BLAIR ST","2012-01-01T18:19:00.000","153","Z5","2012-01-01T18:19:00.000","5399-28","PUBLIC PEACE","1894591","878927"
"SL2012473","SALT LAKE CITY","1","1","290","200 N 1000 W","2012-01-01T20:10:00.000","112","Z1","2012-01-01T20:10:00.000","2902-0","DAMAGED PROP","1883993","889574"
"SL2012474","SALT LAKE CITY","4","1","23F","400 S 700 E","2012-01-01T18:00:00.000","151","Z5","2012-01-01T20:11:00.000","2305-0","LARCENY","1897441","884024"
"SL2012486","SALT LAKE CITY","5","1","0","200 E WILSON AVE","2012-01-01T20:30:00.000","161","Z6","2012-01-01T20:30:00.000","7399-3","PUBLIC ORDER","1893999","874005"
"SL2012488","SALT LAKE CITY","2","1","0","1800 W NORTH TEMPLE ST","2012-01-01T20:31:00.000","113","Z1","2012-01-01T20:31:00.000","5399-23","PUBLIC PEACE","1877121","888394"
"SL2012190","SALT LAKE CITY","4","1","0","200 S RIO GRANDE ST","2012-01-01T05:21:00.000","132","Z3","2012-01-01T05:21:00.000","7399-1","PUBLIC ORDER","1888298","885903"
"SL2012482","SALT LAKE CITY","7","1","90Z","800 E PARKWAY AVE","2012-01-01T20:25:00.000","162","Z6","2012-01-01T20:25:00.000","5309-0","PUBLIC PEACE","1898310","869010"
"SL2012498","SALT LAKE CITY","5","1","0","1400 E 900 S","2012-01-01T21:02:00.000","154","Z5","2012-01-01T21:02:00.000","7399-3","PUBLIC ORDER","1902945","880364"
"SL2012549","SALT LAKE CITY","2","1","220","1600 S NAVAJO ST","2012-01-01T23:23:00.000","123","Z2","2012-01-01T23:23:00.000","2202-0","BURGLARY","1880969","874886"
"SL2012499","SALT LAKE CITY","2","1","13B","1100 W 400 S","2012-01-01T21:06:00.000","121","Z2","2012-01-01T21:06:00.000","1313-0","ASSAULT","1882649","884399"
"SL2012504","SALT LAKE CITY","6","1","0","1500 E GLEN ARBOR ST","2012-01-01T21:11:00.000","163","Z6","2012-01-01T21:11:00.000","7399-11","PUBLIC ORDER","1903779","874050"
"SL2012545","SALT LAKE CITY","4","1","90C","200 E 200 S","2012-01-01T23:15:00.000","133","Z3","2012-01-01T23:15:00.000","7299-3","MORALS-DECENCY","1893860","885942"
"SL201283","SALT LAKE CITY","4","1","0","400 S STATE ST","2012-01-01T01:45:00.000","135","Z3","2012-01-01T01:45:00.000","7399-7","PUBLIC ORDER","1892686","883988"
"SL2012511","SALT LAKE CITY","1","1","23C","900 W NORTH TEMPLE ST","2012-01-01T21:36:00.000","112","Z1","2012-01-01T21:36:00.000","2303-0","LARCENY","1884190","888426"
"SL2012561","SALT LAKE CITY","2","1","0","1900 W 500 S","2012-01-01T23:56:00.000","124","Z2","2012-01-02T03:06:00.000","5499-1","TRAFFIC","1876053","883661"
"SL2012699","SALT LAKE CITY","4","1","23D","100 W 500 S","2012-01-01T15:00:00.000","135","Z3","2012-01-02T10:35:00.000","2308-0","LARCENY","1890665","883638"
"SL2012784","SALT LAKE CITY","4","1","11C","300 E 800 S","2012-01-01T04:00:00.000","144","Z4","2012-01-02T13:40:00.000","1199-0","SEXUAL ASSAULT","1894366","881246"
"SL2012706","SALT LAKE CITY","2","1","90Z","900 S 800 W","2012-01-01T16:00:00.000","122","Z2","2012-01-02T10:51:00.000","4902-0","ESCAPE","1885480","880443"
"SL2012705","SALT LAKE CITY","2","1","90Z","900 S 800 W","2012-01-01T16:00:00.000","122","Z2","2012-01-02T10:46:00.000","4902-0","ESCAPE","1885480","880443"
"SL2012307","SALT LAKE CITY","5","1","35A","2000 S 500 E","2012-01-01T13:16:00.000","161","Z6","2012-01-01T13:16:00.000","3562-0","DRUGS","1895749","871776"
"SL2012800","SALT LAKE CITY","7","1","23F","2500 S 600 E","2012-01-01T01:00:00.000","162","Z6","2012-01-02T14:10:00.000","2305-0","LARCENY","1896569","867582"
"SL2012153","SALT LAKE CITY","3","1","90D","400 N CENTER ST","2012-01-01T03:33:00.000","131","Z3","2012-01-01T03:33:00.000","5404-0","TRAFFIC","1890964","891122"
"SL2012378","SALT LAKE CITY","7","1","0","1300 E 2700 S","2012-01-01T16:19:00.000","163","Z6","2012-01-01T17:42:00.000","5499-7","TRAFFIC","1902144","866848"
"SL2012461","SALT LAKE CITY","5","1","23C","300 W HOPE AVE","2012-01-01T17:50:00.000","152","Z5","2012-01-01T19:30:00.000","2303-0","LARCENY","1889051","876511"
"SL2012707","SALT LAKE CITY","4","1","290","00 S WEST TEMPLE ST","2012-01-01T02:10:00.000","133","Z3","2012-01-02T10:55:00.000","2901-0","DAMAGED PROP","1891111","886981"
"SL2012800002","SALT LAKE CITY","4","1","0","100 W 200 S","2012-01-01T13:40:00.000","133","Z3","2012-01-01T13:48:00.000","7399-6","PUBLIC ORDER","1890674","886014"
"SL20121274","SALT LAKE CITY","4","1","0","200 S RIO GRANDE ST","2012-01-01T12:00:00.000","132","Z3","2012-01-03T12:04:00.000","7399-7","PUBLIC ORDER","1888238","885862"
"SL2012800004","SALT LAKE CITY","3","1","23F","300 N EAST CAPITOL BLVD","2012-01-01T13:30:00.000","141","Z4","2012-01-01T16:12:00.000","2305-0","LARCENY","1893183","889967"
"SL2012800007","SALT LAKE CITY","2","1","290","1100 S 1100 W","2012-01-01T15:45:00.000","122","Z2","2012-01-01T23:33:00.000","2902-0","DAMAGED PROP","1883226","878694"
"SL2012800008","SALT LAKE CITY","1","1","290","5000 W WILEY POST WAY","2012-01-01T22:00:00.000","113","Z1","2012-01-02T07:50:00.000","2902-0","DAMAGED PROP","1859265","889247"
"SL2012800011","SALT LAKE CITY","3","1","23F","500 W 400 N","2012-01-01T23:00:00.000","131","Z3","2012-01-02T17:15:00.000","2305-0","LARCENY","1887525","890779"
"SL2012266","SALT LAKE CITY","4","1","290","200 W 400 S","2012-01-01T11:17:00.000","132","Z3","2012-01-01T11:17:00.000","2902-0","DAMAGED PROP","1890267","884431"
"SL2012271","SALT LAKE CITY","4","1","290","100 W 600 S","2012-01-01T11:23:00.000","135","Z3","2012-01-01T11:23:00.000","2902-0","DAMAGED PROP","1890585","882786"
"SL2012314","SALT LAKE CITY","4","1","290","00 S 600 W","2012-01-01T13:42:00.000","132","Z3","2012-01-01T13:42:00.000","2902-0","DAMAGED PROP","1887092","887186"
"SL2012344","SALT LAKE CITY","4","1","0","200 W 600 S","2012-01-01T14:54:00.000","134","Z3","2012-01-01T14:54:00.000","7399-6","PUBLIC ORDER","1889885","882848"
"SL2012351","SALT LAKE CITY","4","1","23H","00 W 200 S","2012-01-01T15:09:00.000","133","Z3","2012-01-01T15:09:00.000","2399-0","LARCENY","1891728","885950"
"SL2012361","SALT LAKE CITY","4","1","23B","00 W 300 S","2012-01-01T15:37:00.000","133","Z3","2012-01-01T15:37:00.000","2302-0","LARCENY","1891718","885218"
"SL2012379","SALT LAKE CITY","3","1","23F","200 N WEST TEMPLE ST","2012-01-01T16:18:00.000","131","Z3","2012-01-01T16:18:00.000","2305-0","LARCENY","1891073","889163"
"SL2012415","SALT LAKE CITY","4","1","23F","200 W PIERPONT AVE","2012-01-01T17:40:00.000","133","Z3","2012-01-01T17:40:00.000","2305-0","LARCENY","1890307","885619"
"SL2012237","SALT LAKE CITY","1","1","90Z","500 N TERMINAL NORTHBOUND DR","2012-01-01T08:28:00.000","113","Z1","2012-01-01T09:42:00.000","5401-0","TRAFFIC","1866905","891511"
"SL2012800015","SALT LAKE CITY","4","1","23F","200 S 500 W","2012-01-01T00:50:00.000","132","Z3","2012-01-03T13:44:00.000","2305-0","LARCENY","1887877","885560"
"SL20121658","SALT LAKE CITY",,"1","90Z","600 W 200 S","2012-01-01T18:52:00.000","132","Z3","2012-01-01T18:52:00.000","4902-0","ESCAPE","1887093","886028"
"SL20121664","SALT LAKE CITY",,"1","90Z","300 E SHERMAN AVE","2012-01-01T17:48:00.000","153","Z5","2012-01-01T17:48:00.000","4902-0","ESCAPE","1894332","877175"
"SL20121841","SALT LAKE CITY","1","1","13B","1500 W 500 N","2012-01-01T22:00:00.000","112","Z1","2012-01-04T12:38:00.000","1313-0","ASSAULT","1879978","891602"
"SL20121432","SALT LAKE CITY","4","1","0","600 S 300 W","2012-01-01T06:00:00.000","134","Z3","2012-01-04T14:04:00.000","7399-6","PUBLIC ORDER","1889509","882613"
"SL20121874","SALT LAKE CITY","4","1","13B","300 E 300 S","2012-01-01T13:00:00.000","142","Z4","2012-01-04T13:07:00.000","1313-0","ASSAULT","1894563","885147"
"SL201230","SALT LAKE CITY","4","1","0","600 W 400 S","2012-01-01T00:32:00.000","132","Z3","2012-01-01T00:32:00.000","5499-8","TRAFFIC","1886942","884443"
