"case","city","council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL201248","SALT LAKE CITY","4","1","90D","400 S 200 E","2012-01-01T00:41:00.000","135","Z3","2012-01-01T00:41:00.000","5404-0","TRAFFIC","1893420","884365"
"SL201256","SALT LAKE CITY","4","1","90D","400 S STATE ST","2012-01-01T00:30:00.000","135","Z3","2012-01-01T00:30:00.000","5404-0","TRAFFIC","1892627","884368"
"SL201245","SALT LAKE CITY","4","1","90D","400 S MAIN ST","2012-01-01T00:45:00.000","135","Z3","2012-01-01T00:45:00.000","5404-0","TRAFFIC","1891833","884125"
"SL201279","SALT LAKE CITY","4","1","90D","1000 E 300 S","2012-01-01T01:42:00.000","143","Z4","2012-01-01T01:42:00.000","5404-0","TRAFFIC","1900203","885125"
"SL201290","SALT LAKE CITY","4","1","90D","200 S STATE ST","2012-01-01T01:30:00.000","133","Z3","2012-01-01T01:30:00.000","5404-0","TRAFFIC","1892634","885962"
"SL201211","SALT LAKE CITY","1","1","13B","1000 W 600 N","2012-01-01T00:11:00.000","111","Z1","2012-01-01T00:11:00.000","1313-0","ASSAULT","1883325","892381"
"SL201259","SALT LAKE CITY","1","1","13B","2100 W NORTH TEMPLE ST","2012-01-01T01:03:00.000","113","Z1","2012-01-01T01:47:00.000","1313-0","ASSAULT","1875165","888461"
"SL201297","SALT LAKE CITY","4","1","0","400 S 200 W","2012-01-01T02:00:00.000","134","Z3","2012-01-01T02:00:00.000","5499-12","TRAFFIC","1890249","884377"
"SL2012105","SALT LAKE CITY","4","1","90D","100 W 400 S","2012-01-01T01:59:00.000","133","Z3","2012-01-01T02:26:00.000","5404-0","TRAFFIC","1890850","884429"
"SL2012116","SALT LAKE CITY","4","1","35A","600 S WEST TEMPLE ST","2012-01-01T02:21:00.000","135","Z3","2012-01-01T02:21:00.000","3562-0","DRUGS","1891034","882798"
"SL201278","SALT LAKE CITY","4","1","290","100 W 600 S","2012-01-01T01:40:00.000","135","Z3","2012-01-01T01:40:00.000","2902-1","DAMAGED PROP","1890472","882846"
"SL2012118","SALT LAKE CITY","7","1","240","2600 S HIGHLAND DR","2012-01-01T02:24:00.000","162","Z6","2012-01-01T02:24:00.000","2499-13","STOLEN VEHICLE","1901646","866886"
"SL2012166","SALT LAKE CITY",,"1","0","1300 W 1200 S","2012-01-01T04:11:00.000",,,"2012-01-01T04:11:00.000","2499-14","STOLEN VEHICLE",,
"SL2012158","SALT LAKE CITY","4","1","90Z","00 S 300 E","2012-01-01T03:41:00.000","133","Z3","2012-01-01T04:30:00.000","5401-0","TRAFFIC","1894223","887158"
"SL2012143","SALT LAKE CITY","7","1","90D","500 E 2100 S","2012-01-01T04:46:00.000","162","Z6","2012-01-01T04:46:00.000","5404-0","TRAFFIC","1895817","871513"
"SL2012193","SALT LAKE CITY","2","1","240","600 S GLENDALE ST","2012-01-01T05:23:00.000","121","Z2","2012-01-01T05:28:00.000","2499-13","STOLEN VEHICLE","1882897","882504"
"SL2012147","SALT LAKE CITY","7","1","220","1400 E PARKWAY AVE","2012-01-01T03:19:00.000","163","Z6","2012-01-01T03:19:00.000","2202-0","BURGLARY","1903270","868862"
"SL20128","SALT LAKE CITY","2","1","520","1200 S PROSPECT ST","2012-01-01T00:07:00.000","122","Z2","2012-01-01T00:49:00.000","5213-0","WEAPON OFFENSE","1878959","877912"
"SL201277","SALT LAKE CITY","4","1","13B","200 S WEST TEMPLE ST","2012-01-01T01:40:00.000","133","Z3","2012-01-01T01:40:00.000","1313-0","ASSAULT","1891047","885912"
"SL2012123","SALT LAKE CITY","4","1","13B","100 W 600 S","2012-01-01T02:35:00.000","135","Z3","2012-01-01T02:35:00.000","1313-0","ASSAULT","1890585","882786"
