,x_coordinate,y_coordinate
72,1866912.0,891516.0
73,1890463.0,882846.0
74,1877912.0,888390.0
75,1910299.0,875750.0
76,1888238.0,885862.0
77,1904958.0,889314.0
78,1882505.0,882831.0
79,1898727.0,885131.0
80,1893476.0,872791.0
81,1889051.0,876511.0
82,1891831.0,883579.0
83,1889051.0,876511.0
84,1899331.0,885921.0
85,1900345.0,886709.0
86,1889838.0,884372.0
87,1896578.0,881048.0
88,1888665.0,884492.0
89,1891445.0,888337.0
90,1893540.0,884358.0
91,1882368.0,888433.0
92,1888519.0,885170.0
93,1892714.0,889718.0
94,1890255.0,885974.0
95,1883936.0,884264.0
96,1898148.0,877428.0
97,1876993.0,898623.0
98,1887148.0,886204.0
99,1896652.0,884583.0
100,1893144.0,888028.0
101,1878536.0,888418.0
102,1887974.0,885374.0
103,1869739.0,890270.0
104,1902163.0,864996.0
105,1854743.0,885997.0
106,1899017.0,885130.0
107,1890539.0,882786.0
108,1877709.0,902050.0
109,1879721.0,885525.0
110,1896653.0,887954.0
111,1889084.0,884435.0
112,1878098.0,892173.0
113,1888298.0,885767.0
114,1891831.0,883579.0
115,1894271.0,883800.0
116,1897419.0,878520.0
117,1887131.0,883650.0
118,1887171.0,891915.0
119,1900583.0,887869.0
120,1886827.0,889854.0
121,1888344.0,885963.0
122,1900530.0,870242.0
123,1894264.0,881757.0
124,1894682.0,884414.0
125,1894996.0,881663.0
126,1900526.0,876894.0
127,1888200.0,877442.0
128,1895886.0,888374.0
129,1900722.0,870700.0
130,1867367.0,893605.0
131,1891876.0,879527.0
132,1913416.0,874013.0
133,1854762.0,873359.0
134,1869739.0,890270.0
135,1890176.0,883639.0
136,1869739.0,890270.0
137,1884684.0,872260.0
138,1891516.0,872760.0
139,1901748.0,885004.0
140,1902126.0,870438.0
141,1893135.0,889055.0
142,1893007.0,877078.0
143,1876825.0,896737.0
144,1890585.0,882786.0
145,1892645.0,873312.0
146,1893008.0,877437.0
147,1900194.0,880434.0
148,1884952.0,881220.0
149,1901494.0,871487.0
150,1892595.0,875934.0
151,1891945.0,887593.0
152,1894232.0,872817.0
153,1884800.0,893292.0
154,1876053.0,883661.0
155,1890245.0,883500.0
156,1892276.0,876961.0
157,1894840.0,890813.0
158,1889051.0,876511.0
159,1887858.0,885232.0
160,1866187.0,892608.0
161,1883930.0,888826.0
162,1890028.0,892292.0
163,1884805.0,894429.0
164,1892598.0,876768.0
165,1900456.0,865275.0
169,1863833.0,878684.0
170,1892257.0,875021.0
171,1869739.0,890270.0
172,1888298.0,885862.0
173,1866905.0,891511.0
174,1889500.0,880305.0
175,1891086.0,880641.0
176,1867367.0,893605.0
177,1900209.0,887500.0
178,1897693.0,882759.0
179,1888237.0,887060.0
180,1896593.0,885008.0
181,1891191.0,877431.0
182,1885131.0,871672.0
183,1892498.0,877351.0
184,1867036.0,893752.0
185,1894358.0,888936.0
186,1896777.0,885198.0
