,x_coordinate,y_coordinate
2,1865746.0,891599.0
3,1893430.0,885973.0
5,1895310.0,862581.0
6,1875209.0,893287.0
7,1902095.0,873239.0
8,1866905.0,891511.0
9,1889415.0,871603.0
11,1854730.0,879635.0
12,1878549.0,891588.0
14,1866905.0,891511.0
17,1892451.0,893941.0
18,1864946.0,804068.0
19,1892629.0,876990.0
20,1866905.0,891511.0
21,1890250.0,884714.0
22,1893430.0,885973.0
24,1866905.0,891511.0
26,1879781.0,890223.0
27,1879133.0,885354.0
28,1894390.0,886000.0
29,1865746.0,891599.0
30,1852232.0,876372.0
31,1866905.0,891511.0
32,1859072.0,803262.0
34,1893100.0,892357.0
35,1877849.0,901178.0
36,1877236.0,889605.0
37,1890903.0,885617.0
39,1866905.0,891511.0
40,1895136.0,866802.0
41,1866905.0,891511.0
42,1879131.0,885462.0
43,1903749.0,875782.0
45,1866905.0,891511.0
46,1904558.0,873457.0
47,1866905.0,891511.0
48,1884306.0,852041.0
49,1866905.0,891511.0
50,1866905.0,891511.0
51,1894206.0,834271.0
55,1878608.0,882542.0
56,1908894.0,865842.0
57,1865746.0,891599.0
58,1893430.0,885973.0
59,1884192.0,897087.0
60,1865746.0,891599.0
61,1887114.0,885205.0
62,1866905.0,891511.0
63,1869703.0,879105.0
64,1866905.0,891511.0
65,1891045.0,877910.0
66,1883132.0,883147.0
67,1888677.0,887475.0
68,1869739.0,890270.0
69,1893430.0,885973.0
70,1866905.0,891511.0
71,1857512.0,876367.0
72,1909767.0,876470.0
73,1891815.0,879350.0
76,1866905.0,891511.0
79,1866905.0,891511.0
80,1894538.0,900314.0
81,1869054.0,879107.0
84,1866905.0,891511.0
86,1866905.0,891511.0
87,1877296.0,889638.0
88,1884331.0,860900.0
89,1866905.0,891511.0
90,1866905.0,891511.0
91,1872816.0,879099.0
92,1878914.0,870416.0
93,1888793.0,879047.0
94,1866905.0,891511.0
96,1866905.0,891511.0
97,1866905.0,891511.0
99,1866296.0,883287.0
100,1866905.0,891511.0
101,1889463.0,884434.0
103,1884331.0,860900.0
104,1902961.0,873479.0
105,1893430.0,885973.0
106,1912927.0,871584.0
108,1865746.0,891599.0
110,1893430.0,885973.0
111,1866905.0,891511.0
113,1867876.0,863433.0
115,1891632.0,786936.0
117,1864126.0,839230.0
118,1876199.0,893922.0
119,1888340.0,887737.0
121,1866905.0,891511.0
123,1894199.0,872188.0
125,1892620.0,869559.0
126,1894538.0,900314.0
129,1877296.0,889638.0
131,1893430.0,885973.0
132,1846835.0,884977.0
134,1908205.0,878856.0
135,1866905.0,891511.0
137,1866905.0,891511.0
138,1891581.0,843603.0
139,1878396.0,843185.0
141,1877937.0,876100.0
142,1881432.0,889589.0
144,1866905.0,891511.0
145,1890566.0,859456.0
146,1866905.0,891511.0
148,1899139.0,861992.0
149,1899397.0,889227.0
150,1866905.0,891511.0
152,1866905.0,891511.0
153,1866905.0,891511.0
154,1866905.0,891511.0
155,1894840.0,890813.0
158,1893430.0,885973.0
159,1866905.0,891511.0
160,1866905.0,891511.0
161,1866905.0,891511.0
162,1866905.0,891511.0
163,1866905.0,891511.0
164,1852473.0,875819.0
165,1866905.0,891511.0
167,1866905.0,891511.0
169,1903245.0,872811.0
171,1866905.0,891511.0
172,1892809.0,882807.0
173,1893430.0,885973.0
174,1890879.0,896205.0
175,1866905.0,891511.0
176,1875744.0,860550.0
177,1864104.0,861348.0
178,1855589.0,889065.0
179,1866905.0,891511.0
180,1892978.0,892795.0
183,1887092.0,887186.0
185,1875047.0,862170.0
186,1893430.0,885973.0
187,1866905.0,891511.0
188,1884229.0,881223.0
189,1884844.0,875957.0
190,1866905.0,891511.0
191,1884321.0,888396.0
192,1865746.0,891599.0
193,1878649.0,901259.0
194,1878649.0,901259.0
195,1893430.0,885973.0
196,1875955.0,861400.0
197,1891345.0,862162.0
198,1893430.0,885973.0
201,1881012.0,799956.0
202,1880512.0,858615.0
203,1865258.0,863429.0
204,1869739.0,890270.0
205,1888652.0,833023.0
206,1895184.0,855823.0
207,1866905.0,891511.0
208,1900966.0,830272.0
209,1867495.0,893360.0
210,1865746.0,891599.0
211,1914405.0,834426.0
212,1865746.0,891599.0
213,1865258.0,863429.0
215,1866905.0,891511.0
216,1866905.0,891511.0
217,1866905.0,891511.0
218,1878981.0,882516.0
220,1902121.0,869101.0
221,1861730.0,883126.0
222,1901912.0,864299.0
223,1865746.0,891599.0
224,1865746.0,891599.0
225,1889462.0,833180.0
226,1866905.0,891511.0
227,1874295.0,879096.0
228,1893583.0,887966.0
229,1874053.0,879096.0
230,1866905.0,891511.0
231,1866905.0,891511.0
232,1866905.0,891511.0
233,1891632.0,786936.0
234,1866905.0,891511.0
235,1866905.0,891511.0
236,1888340.0,887737.0
237,1890314.0,885738.0
239,1866905.0,891511.0
240,1876268.0,862514.0
241,1865746.0,891599.0
243,1908570.0,868911.0
246,1878430.0,845546.0
247,1882757.0,899184.0
248,1866905.0,891511.0
249,1866905.0,891511.0
250,1866905.0,891511.0
251,1887777.0,858562.0
252,1866905.0,891511.0
253,1854303.0,863734.0
254,1854725.0,871788.0
256,1853996.0,877160.0
257,1866905.0,891511.0
258,1866905.0,891511.0
259,1866905.0,891511.0
260,1893430.0,885973.0
262,1893430.0,885973.0
263,1866905.0,891511.0
265,1877896.0,867886.0
267,1866213.0,893805.0
268,1847756.0,855878.0
269,1847746.0,855978.0
271,1855334.0,866175.0
272,1865746.0,891599.0
273,1877296.0,889736.0
275,1899335.0,888788.0
276,1865746.0,891599.0
277,1866905.0,891511.0
278,1866905.0,891511.0
279,1884703.0,884213.0
281,1893430.0,885973.0
282,1866905.0,891511.0
283,1860991.0,871964.0
284,1865746.0,891599.0
286,1866905.0,891511.0
287,1895434.0,878659.0
288,1868452.0,879048.0
290,1884664.0,874638.0
294,1866905.0,891511.0
295,1893697.0,859501.0
297,1893430.0,885973.0
298,1866905.0,891511.0
299,1866525.0,852685.0
300,1866525.0,852685.0
301,1886265.0,829620.0
302,1866905.0,891511.0
304,1877786.0,888421.0
305,1892560.0,870281.0
306,1896625.0,880386.0
307,1866905.0,891511.0
308,1865746.0,891599.0
309,1877624.0,896398.0
311,1893430.0,885973.0
314,1900803.0,870475.0
315,1866905.0,891511.0
317,1866905.0,891511.0
319,1866905.0,891511.0
320,1866905.0,891511.0
321,1879424.0,881381.0
323,1866905.0,891511.0
324,1896602.0,877473.0
325,1890635.0,877445.0
326,1884417.0,859229.0
327,1866905.0,891511.0
331,1878597.0,888006.0
333,1881531.0,893329.0
334,1897345.0,869485.0
336,1866905.0,891511.0
337,1900084.0,872267.0
338,1866905.0,891511.0
339,1876532.0,905178.0
340,1893430.0,885973.0
341,1892459.0,816400.0
342,1894281.0,886383.0
343,1866905.0,891511.0
344,1898158.0,891074.0
345,1888652.0,833023.0
346,1865746.0,891599.0
347,1866213.0,893805.0
348,1866905.0,891511.0
350,1854730.0,879635.0
351,1877309.0,897014.0
352,1879540.0,892417.0
353,1866905.0,891511.0
354,1891632.0,786936.0
355,1889940.0,859560.0
356,1866905.0,891511.0
357,1883596.0,882077.0
358,1866905.0,891511.0
359,1866905.0,891511.0
360,1873487.0,890195.0
361,1894538.0,900314.0
362,1866905.0,891511.0
363,1891735.0,830396.0
364,1919545.0,855402.0
365,1895053.0,880813.0
369,1893032.0,875692.0
370,1866905.0,891511.0
372,1866905.0,891511.0
373,1866905.0,891511.0
374,1866905.0,891511.0
375,1866905.0,891511.0
377,1866905.0,891511.0
378,1865746.0,891599.0
379,1893430.0,885973.0
380,1866905.0,891511.0
382,1884079.0,885392.0
384,1888340.0,887737.0
385,1893377.0,892732.0
386,1855144.0,863668.0
387,1855144.0,863668.0
389,1894903.0,863159.0
390,1872707.0,860607.0
391,1865746.0,891599.0
392,1866905.0,891511.0
393,1865746.0,891599.0
394,1858303.0,887455.0
395,1865746.0,891599.0
398,1877294.0,888865.0
399,1866905.0,891511.0
400,1866905.0,891511.0
401,1877296.0,889759.0
402,1866905.0,891511.0
403,1865746.0,891599.0
405,1906270.0,850069.0
406,1866905.0,891511.0
407,1871044.0,879043.0
408,1895070.0,885364.0
409,1866905.0,891511.0
411,1892539.0,871069.0
412,1908594.0,879958.0
413,1866905.0,891511.0
415,1866905.0,891511.0
416,1866905.0,891511.0
417,1881096.0,798628.0
419,1835925.0,871767.0
420,1866989.0,893715.0
421,1877294.0,889003.0
422,1866905.0,891511.0
423,1866905.0,891511.0
424,1893430.0,885973.0
426,1892507.0,868741.0
427,1895650.0,865203.0
428,1893430.0,885973.0
429,1866905.0,891511.0
430,1852232.0,876372.0
431,1870827.0,832867.0
432,1902716.0,863107.0
433,1879166.0,893759.0
434,1869739.0,890270.0
435,1866905.0,891511.0
436,1888250.0,886781.0
437,1866905.0,891511.0
440,1866905.0,891511.0
441,1913971.0,880529.0
442,1897225.0,865426.0
443,1866905.0,891511.0
444,1866905.0,891511.0
446,1866905.0,891511.0
447,1881491.0,861567.0
449,1902052.0,862356.0
451,1866905.0,891511.0
452,1890575.0,832947.0
453,1865746.0,891599.0
454,1914360.0,861472.0
455,1866905.0,891511.0
456,1892560.0,870281.0
457,1902716.0,863107.0
458,1901256.0,862221.0
459,1826034.0,884694.0
460,1865746.0,891599.0
461,1865746.0,891599.0
462,1869348.0,879106.0
465,1858445.0,874648.0
466,1866905.0,891511.0
467,1866905.0,891511.0
468,1866905.0,891511.0
469,1884271.0,895515.0
470,1870532.0,867008.0
471,1866905.0,891511.0
472,1866905.0,891511.0
473,1866905.0,891511.0
475,1866905.0,891511.0
476,1865746.0,891599.0
477,1894390.0,886000.0
478,1866905.0,891511.0
479,1887875.0,880476.0
481,1888941.0,833518.0
483,1892539.0,871069.0
484,1884331.0,860900.0
485,1879540.0,892417.0
488,1905397.0,871097.0
489,1866905.0,891511.0
491,1866905.0,891511.0
492,1866905.0,891511.0
493,1908531.0,869123.0
494,1866905.0,891511.0
495,1866905.0,891511.0
498,1876116.0,898130.0
500,1878555.0,884444.0
501,1866905.0,891511.0
502,1866905.0,891511.0
503,1909827.0,868563.0
504,1888761.0,827191.0
505,1910112.0,876646.0
508,1884331.0,860900.0
509,1866905.0,891511.0
510,1833856.0,863297.0
513,1893430.0,885973.0
517,1865746.0,891599.0
519,1893430.0,885973.0
520,1866905.0,891511.0
522,1867876.0,863433.0
524,1866905.0,891511.0
525,1901256.0,862221.0
527,1865746.0,891599.0
528,1866905.0,891511.0
530,1871502.0,879042.0
534,1909760.0,876964.0
535,1866905.0,891511.0
537,1901429.0,851867.0
539,1866905.0,891511.0
541,1866905.0,891511.0
544,1877358.0,895993.0
546,1906203.0,847221.0
547,1893430.0,885973.0
548,1866905.0,891511.0
549,1866905.0,891511.0
550,1902326.0,863494.0
551,1847962.0,861892.0
552,1869739.0,890270.0
555,1883924.0,881260.0
557,1888834.0,833496.0
558,1893430.0,885973.0
559,1866905.0,891511.0
561,1869703.0,879105.0
562,1896919.0,853782.0
565,1866905.0,891511.0
566,1866905.0,891511.0
568,1910959.0,830288.0
569,1826238.0,886531.0
570,1866905.0,891511.0
571,1866905.0,891511.0
575,1866905.0,891511.0
578,1866905.0,891511.0
583,1866905.0,891511.0
585,1894840.0,890813.0
588,1866905.0,891511.0
593,1866905.0,891511.0
594,1902716.0,863107.0
601,1877228.0,862339.0
602,1867036.0,893752.0
603,1875140.0,855208.0
604,1865746.0,891599.0
605,1877295.0,889038.0
606,1899663.0,788186.0
608,1893430.0,885973.0
609,1893430.0,885973.0
611,1898782.0,887506.0
614,1865746.0,891599.0
615,1866905.0,891511.0
618,1866905.0,891511.0
619,1868103.0,875692.0
620,1866905.0,891511.0
623,1866905.0,891511.0
625,1877296.0,889759.0
627,1909094.0,878001.0
629,1866905.0,891511.0
633,1894390.0,886000.0
636,1883960.0,888788.0
637,1913971.0,880529.0
638,1878326.0,867910.0
639,1866905.0,891511.0
644,1881096.0,798628.0
646,1877295.0,889038.0
647,1866905.0,891511.0
648,1877764.0,897982.0
652,1912114.0,871693.0
655,1860017.0,841565.0
656,1894538.0,900314.0
658,1869639.0,890280.0
660,1887859.0,885750.0
664,1866905.0,891511.0
666,1877237.0,889982.0
667,1866905.0,891511.0
668,1928909.0,887388.0
669,1888340.0,887737.0
670,1857418.0,894412.0
671,1893156.0,885114.0
672,1866905.0,891511.0
674,1866905.0,891511.0
675,1883974.0,892348.0
678,1865746.0,891599.0
679,1915458.0,823767.0
680,1866905.0,891511.0
683,1866905.0,891511.0
685,1833627.0,813129.0
689,1884949.0,856674.0
692,1892942.0,866848.0
693,1883047.0,895491.0
694,1866905.0,891511.0
695,1891632.0,786936.0
696,1917639.0,877724.0
697,1866905.0,891511.0
699,1877236.0,889605.0
700,1866213.0,893805.0
703,1878981.0,882486.0
704,1893430.0,885973.0
706,1866905.0,891511.0
708,1866905.0,891511.0
711,1897300.0,869057.0
714,1888560.0,885820.0
716,1867243.0,892571.0
717,1909226.0,868534.0
718,1866905.0,891511.0
720,1893430.0,885973.0
727,1893111.0,832413.0
729,1866905.0,891511.0
730,1877235.0,889278.0
731,1891983.0,846886.0
732,1866905.0,891511.0
733,1891983.0,846886.0
734,1866905.0,891511.0
736,1893430.0,885973.0
738,1893394.0,823473.0
739,1866905.0,891511.0
743,1891108.0,886189.0
747,1908448.0,871489.0
748,1874464.0,833826.0
751,1900699.0,863601.0
753,1893372.0,872062.0
754,1897354.0,877424.0
755,1866905.0,891511.0
758,1869739.0,890270.0
759,1877236.0,889605.0
760,1889240.0,870226.0
761,1898961.0,869398.0
763,1873023.0,826672.0
764,1886386.0,845328.0
765,1862124.0,882481.0
767,1866905.0,891511.0
768,1879737.0,899266.0
769,1878569.0,869515.0
770,1898530.0,867211.0
771,1866905.0,891511.0
776,1902716.0,863107.0
778,1866905.0,891511.0
779,1893430.0,885973.0
780,1898953.0,887945.0
781,1893430.0,885973.0
782,1866905.0,891511.0
784,1872224.0,879070.0
786,1866905.0,891511.0
787,1866905.0,891511.0
790,1866905.0,891511.0
791,1894810.0,890890.0
795,1888461.0,826975.0
796,1877235.0,889278.0
797,1877573.0,877173.0
798,1866905.0,891511.0
799,1866905.0,891511.0
800,1886652.0,846661.0
803,1894538.0,900314.0
805,1866905.0,891511.0
806,1884779.0,860289.0
807,1894609.0,887523.0
808,1855144.0,863668.0
809,1877295.0,889038.0
811,1865746.0,891599.0
814,1898165.0,874175.0
817,1866905.0,891511.0
818,1866905.0,891511.0
819,1888340.0,887737.0
820,1877296.0,889759.0
823,1866905.0,891511.0
824,1878597.0,888006.0
826,1846835.0,884977.0
828,1892560.0,870281.0
829,1866905.0,891511.0
832,1866905.0,891511.0
833,1887876.0,885178.0
835,1890275.0,891011.0
836,1877982.0,878850.0
837,1866905.0,891511.0
839,1908746.0,865716.0
840,1866905.0,891511.0
843,1866905.0,891511.0
844,1866905.0,891511.0
845,1897423.0,860329.0
846,1875513.0,877149.0
847,1877296.0,889536.0
850,1888211.0,816321.0
853,1865746.0,891599.0
854,1893430.0,885973.0
855,1888951.0,833418.0
856,1866905.0,891511.0
857,1878556.0,898588.0
859,1865746.0,891599.0
860,1892581.0,872409.0
862,1865746.0,891599.0
864,1865746.0,891599.0
865,1866905.0,891511.0
867,1878512.0,871779.0
868,1909767.0,876470.0
869,1902052.0,862356.0
870,1856224.0,889238.0
871,1894390.0,886000.0
874,1866905.0,891511.0
875,1882779.0,890768.0
876,1865746.0,891599.0
877,1866905.0,891511.0
879,1866905.0,891511.0
881,1866905.0,891511.0
882,1866905.0,891511.0
883,1866905.0,891511.0
884,1866905.0,891511.0
885,1893430.0,885973.0
886,1888250.0,886781.0
890,1913127.0,873999.0
891,1877294.0,888832.0
893,1893430.0,885973.0
897,1904946.0,880702.0
899,1866905.0,891511.0
900,1866905.0,891511.0
902,1906910.0,864342.0
903,1866905.0,891511.0
905,1906073.0,888140.0
908,1865746.0,891599.0
909,1866905.0,891511.0
913,1886286.0,892724.0
915,1866905.0,891511.0
916,1888340.0,887737.0
917,1866905.0,891511.0
918,1881667.0,870583.0
919,1877296.0,889638.0
920,1866905.0,891511.0
921,1866570.0,892376.0
922,1892632.0,885581.0
924,1890244.0,883165.0
925,1890249.0,884377.0
927,1886716.0,884444.0
928,1891069.0,884002.0
929,1898571.0,882023.0
930,1866547.0,892675.0
931,1866560.0,893915.0
932,1888680.0,880840.0
933,1866547.0,892675.0
934,1887904.0,884806.0
935,1901620.0,882805.0
936,1889509.0,882613.0
937,1887958.0,890771.0
938,1898602.0,876749.0
939,1883973.0,884721.0
940,1877167.0,892394.0
941,1899017.0,885130.0
943,1890267.0,888875.0
944,1896940.0,872037.0
945,1895863.0,885564.0
946,1900558.0,879567.0
947,1878546.0,890840.0
948,1890255.0,885974.0
949,1889747.0,885225.0
950,1891008.0,876217.0
951,1890056.0,880408.0
952,1888238.0,885862.0
954,1890719.0,890599.0
955,1896050.0,889439.0
957,1884979.0,877840.0
958,1887941.0,886500.0
959,1878812.0,882420.0
960,1894973.0,875864.0
961,1895041.0,881976.0
962,1898524.0,867181.0
963,1902094.0,873053.0
964,1894819.0,879205.0
965,1889283.0,877498.0
966,1898422.0,868067.0
967,1901960.0,862699.0
968,1890645.0,885955.0
969,1890257.0,889184.0
970,1901670.0,887097.0
971,1891876.0,879527.0
972,1895777.0,878990.0
973,1878608.0,882542.0
974,1866905.0,891511.0
975,1888238.0,885862.0
976,1884158.0,896878.0
977,1902155.0,874432.0
978,1854726.0,878828.0
979,1887615.0,886818.0
980,1887328.0,889988.0
981,1902125.0,870120.0
982,1866905.0,891511.0
983,1882983.0,882874.0
984,1878573.0,896989.0
985,1887328.0,889988.0
986,1854967.0,890284.0
987,1885585.0,891573.0
988,1884684.0,872260.0
989,1884802.0,893763.0
990,1892904.0,877426.0
991,1904538.0,871649.0
992,1904538.0,871649.0
993,1904538.0,871649.0
994,1905428.0,888676.0
995,1911134.0,874970.0
996,1906921.0,866296.0
997,1897373.0,881959.0
998,1885585.0,891573.0
999,1890645.0,885955.0
