,x_coordinate,y_coordinate
0,1887093.0,886028.0
1,1893666.0,883566.0
2,1889555.0,893763.0
3,1891047.0,885971.0
4,1890680.0,885618.0
5,1895517.0,884351.0
6,1893392.0,877427.0
7,1891033.0,882549.0
8,1890314.0,885738.0
9,1879129.0,888386.0
10,1895802.0,885485.0
11,1896613.0,872701.0
12,1889249.0,875845.0
13,1891889.0,883171.0
14,1894169.0,871936.0
15,1892068.0,882780.0
16,1894835.0,889810.0
17,1888674.0,886760.0
18,1901183.0,887049.0
19,1880956.0,884071.0
20,1902909.0,880728.0
21,1890965.0,885220.0
22,1878580.0,897671.0
23,1896310.0,882031.0
24,1869739.0,890270.0
25,1884709.0,885644.0
26,1882568.0,883882.0
27,1890463.0,882846.0
28,1885587.0,891907.0
29,1902325.0,864633.0
30,1891922.0,874535.0
31,1898186.0,886740.0
32,1898198.0,874874.0
33,1879308.0,884411.0
34,1882259.0,884461.0
35,1892643.0,872854.0
36,1894723.0,874463.0
37,1888671.0,885980.0
38,1890024.0,883640.0
39,1895856.0,883946.0
40,1895641.0,880450.0
41,1889555.0,893911.0
42,1896649.0,883941.0
43,1881506.0,884463.0
44,1902527.0,882435.0
45,1880999.0,880629.0
46,1902325.0,864633.0
47,1893392.0,877427.0
48,1882224.0,896016.0
49,1890314.0,885738.0
50,1891828.0,882799.0
51,1891047.0,885912.0
52,1876246.0,892790.0
53,1892068.0,882780.0
54,1888267.0,865698.0
55,1879116.0,895425.0
56,1913415.0,880746.0
57,1891047.0,885971.0
58,1878572.0,871891.0
59,1899131.0,871528.0
60,1891025.0,880416.0
61,1879850.0,876951.0
62,1901960.0,862699.0
63,1891838.0,885636.0
64,1888773.0,886754.0
65,1900835.0,887558.0
66,1878931.0,884413.0
67,1887937.0,885550.0
68,1867367.0,893605.0
69,1892621.0,882798.0
70,1890645.0,885955.0
71,1869739.0,890270.0
72,1869739.0,890270.0
73,1877294.0,889003.0
74,1878606.0,882023.0
75,1891830.0,883321.0
76,1888237.0,887060.0
77,1911170.0,874914.0
78,1889529.0,893938.0
79,1878576.0,897216.0
80,1884051.0,874076.0
81,1888237.0,887060.0
82,1892654.0,875747.0
83,1884807.0,895043.0
84,1884807.0,895043.0
85,1892440.0,886008.0
86,1897366.0,880394.0
87,1897334.0,894687.0
88,1895010.0,871527.0
89,1876440.0,894754.0
90,1889271.0,874547.0
91,1892643.0,872846.0
92,1891008.0,876217.0
93,1894221.0,886362.0
94,1879751.0,885630.0
95,1888773.0,886754.0
96,1888298.0,885862.0
97,1893421.0,884719.0
98,1879868.0,882711.0
99,1895003.0,883582.0
100,1897410.0,881967.0
101,1898182.0,885667.0
102,1878556.0,884849.0
103,1887876.0,885178.0
104,1888668.0,885258.0
105,1881761.0,889000.0
106,1893285.0,884419.0
107,1900948.0,868901.0
108,1896638.0,882763.0
109,1896493.0,877474.0
110,1879344.0,877141.0
111,1895203.0,885937.0
112,1898777.0,887566.0
113,1900209.0,887500.0
114,1867367.0,893605.0
115,1894577.0,881978.0
116,1859265.0,889247.0
117,1891904.0,887160.0
118,1858737.0,882428.0
119,1885485.0,881697.0
120,1890248.0,885223.0
121,1880434.0,884073.0
122,1871589.0,877148.0
123,1894271.0,883800.0
124,1896098.0,872476.0
125,1899656.0,895470.0
126,1891793.0,873500.0
127,1877628.0,897415.0
128,1885139.0,888422.0
129,1886204.0,888358.0
130,1888474.0,885230.0
131,1891948.0,871845.0
132,1867367.0,893605.0
133,1876439.0,894967.0
134,1866314.0,877669.0
135,1869739.0,890270.0
136,1880727.0,877053.0
137,1887430.0,882064.0
138,1910167.0,876073.0
139,1866905.0,891511.0
141,1897912.0,868982.0
142,1895754.0,870929.0
143,1887430.0,882064.0
144,1871336.0,873228.0
145,1896044.0,881568.0
146,1895065.0,884086.0
147,1889051.0,876511.0
148,1913266.0,872025.0
149,1876246.0,892790.0
150,1877422.0,899474.0
151,1865813.0,877874.0
152,1869739.0,890270.0
153,1896602.0,877473.0
154,1894258.0,880139.0
155,1887430.0,882064.0
156,1883995.0,884051.0
157,1897980.0,885134.0
158,1880776.0,880995.0
159,1888858.0,891565.0
160,1867367.0,893605.0
161,1898217.0,885133.0
162,1884781.0,888717.0
163,1866598.0,892793.0
164,1897437.0,884404.0
165,1888671.0,885980.0
166,1890223.0,884371.0
167,1889051.0,876511.0
168,1901032.0,870773.0
169,1866547.0,892675.0
170,1893271.0,881250.0
172,1892624.0,875693.0
173,1902527.0,882435.0
174,1890665.0,883638.0
175,1900449.0,864324.0
176,1897437.0,884404.0
177,1892696.0,886547.0
178,1887084.0,885181.0
179,1887084.0,885181.0
180,1885570.0,887874.0
181,1865123.0,896564.0
182,1884227.0,888366.0
183,1891461.0,882842.0
184,1870801.0,872574.0
185,1869390.0,879076.0
186,1888237.0,885727.0
187,1898180.0,885151.0
188,1902179.0,884326.0
189,1902160.0,881159.0
190,1895802.0,885485.0
191,1891517.0,885218.0
192,1880122.0,895976.0
193,1884298.0,882021.0
194,1892617.0,881581.0
195,1884304.0,883607.0
196,1888238.0,885862.0
197,1912927.0,871584.0
198,1894264.0,881757.0
199,1887938.0,885881.0
200,1900579.0,887335.0
201,1901403.0,882361.0
202,1891911.0,888960.0
203,1888474.0,885230.0
204,1886886.0,888355.0
205,1900883.0,863411.0
206,1884034.0,876420.0
207,1908589.0,880716.0
208,1879219.0,877010.0
209,1885083.0,877154.0
210,1884782.0,888792.0
211,1889434.0,878805.0
212,1894328.0,871843.0
213,1900883.0,863411.0
214,1884034.0,876420.0
215,1884801.0,893528.0
216,1879405.0,878490.0
217,1878509.0,888932.0
218,1887430.0,882064.0
219,1877585.0,890124.0
220,1893380.0,874304.0
221,1891801.0,875477.0
222,1901960.0,862699.0
223,1882525.0,878410.0
224,1902100.0,874446.0
225,1880060.0,888442.0
226,1884726.0,889724.0
228,1890474.0,873215.0
229,1893231.0,874470.0
230,1885470.0,891141.0
231,1897740.0,894130.0
232,1892578.0,871566.0
233,1884793.0,891576.0
234,1886219.0,871593.0
235,1892624.0,875693.0
237,1902148.0,885916.0
238,1897319.0,871514.0
239,1890161.0,887540.0
240,1886323.0,878130.0
241,1896432.0,885200.0
242,1888267.0,865696.0
243,1888298.0,885862.0
244,1895065.0,884086.0
245,1854743.0,885124.0
246,1898979.0,886720.0
247,1893835.0,875874.0
248,1891517.0,885218.0
249,1884304.0,883607.0
250,1888235.0,885137.0
251,1866905.0,891511.0
252,1888474.0,885230.0
253,1890305.0,883363.0
254,1895809.0,887308.0
255,1891911.0,888970.0
256,1872168.0,879100.0
257,1912296.0,872840.0
258,1894925.0,877419.0
259,1892631.0,885175.0
260,1906777.0,866897.0
261,1908552.0,871985.0
262,1903142.0,879013.0
263,1896244.0,881186.0
264,1898943.0,877725.0
265,1894593.0,888410.0
266,1899777.0,887075.0
267,1894390.0,886000.0
268,1867036.0,893752.0
269,1885151.0,881790.0
270,1881081.0,881771.0
271,1867036.0,893752.0
272,1890242.0,882671.0
273,1902567.0,884606.0
274,1911609.0,874482.0
275,1883518.0,895126.0
276,1885824.0,880818.0
277,1877503.0,890080.0
278,1867367.0,893605.0
279,1867367.0,893605.0
280,1882558.0,894453.0
281,1889416.0,874482.0
282,1890581.0,878205.0
283,1896225.0,885933.0
284,1893372.0,872227.0
285,1884802.0,893631.0
286,1879137.0,893548.0
287,1884664.0,874638.0
288,1893776.0,876061.0
289,1881081.0,881771.0
290,1890242.0,882671.0
291,1885998.0,889993.0
292,1867367.0,893605.0
293,1877013.0,888454.0
294,1867030.0,892008.0
295,1869739.0,890270.0
297,1883936.0,884264.0
298,1888237.0,887060.0
299,1893012.0,880984.0
300,1888238.0,885862.0
301,1880284.0,880660.0
302,1865458.0,900172.0
303,1878512.0,894444.0
304,1891078.0,878745.0
305,1899031.0,884726.0
306,1867030.0,892008.0
307,1884691.0,881336.0
308,1889051.0,876511.0
309,1869739.0,890270.0
310,1881864.0,894203.0
311,1884744.0,894242.0
312,1880060.0,888442.0
313,1878609.0,882658.0
314,1911609.0,874482.0
315,1898642.0,873464.0
316,1901019.0,883599.0
317,1887941.0,886384.0
318,1892959.0,875722.0
319,1898521.0,871705.0
320,1867036.0,893752.0
321,1887882.0,886763.0
322,1892018.0,874475.0
323,1892949.0,886797.0
324,1897543.0,891314.0
325,1892949.0,886797.0
326,1897543.0,891314.0
327,1886323.0,878130.0
328,1902089.0,871344.0
329,1891815.0,879518.0
330,1888248.0,886894.0
331,1890463.0,882846.0
332,1897543.0,891314.0
333,1882089.0,881053.0
334,1895802.0,885485.0
335,1901496.0,871487.0
336,1893540.0,884358.0
337,1897752.0,880794.0
338,1898573.0,883167.0
339,1899131.0,871528.0
340,1895848.0,885934.0
341,1892608.0,879502.0
342,1885565.0,886737.0
343,1897354.0,877424.0
344,1898953.0,880389.0
345,1891875.0,879441.0
346,1892579.0,871780.0
347,1899011.0,887139.0
348,1902199.0,884089.0
349,1894271.0,883800.0
350,1900108.0,871493.0
351,1879344.0,884471.0
353,1885151.0,881790.0
354,1891801.0,875477.0
355,1894264.0,881757.0
356,1879179.0,881363.0
357,1884700.0,883515.0
358,1913433.0,868849.0
359,1877240.0,901423.0
360,1888650.0,880833.0
361,1887430.0,882064.0
362,1885565.0,886737.0
363,1887084.0,885181.0
364,1888901.0,884376.0
365,1888650.0,884377.0
366,1890280.0,884797.0
367,1897018.0,882762.0
368,1884766.0,885053.0
369,1888880.0,887605.0
370,1898919.0,871817.0
371,1891922.0,874535.0
372,1888297.0,885699.0
373,1893482.0,884838.0
374,1890581.0,878205.0
375,1887084.0,885181.0
376,1888561.0,883645.0
377,1882564.0,882240.0
378,1888297.0,885699.0
379,1890223.0,884371.0
380,1888670.0,885770.0
381,1884103.0,893193.0
382,1887941.0,886384.0
383,1891876.0,879527.0
384,1884103.0,893193.0
385,1884781.0,888717.0
386,1902127.0,870690.0
387,1854706.0,874272.0
388,1878838.0,904406.0
389,1897389.0,885850.0
390,1877185.0,899415.0
391,1895033.0,880452.0
392,1878492.0,890409.0
393,1884802.0,893631.0
394,1900882.0,862201.0
395,1866985.0,893807.0
396,1894271.0,883800.0
397,1897687.0,885927.0
398,1892578.0,871566.0
399,1892835.0,882777.0
400,1895385.0,872528.0
401,1893272.0,881190.0
402,1895241.0,887761.0
403,1882190.0,877783.0
404,1894540.0,891335.0
405,1898644.0,886478.0
406,1888679.0,888016.0
407,1894670.0,881040.0
408,1884497.0,882074.0
409,1891935.0,884424.0
410,1906203.0,873106.0
411,1896625.0,880386.0
412,1896625.0,880386.0
413,1869639.0,890280.0
414,1877240.0,901423.0
415,1901019.0,883599.0
416,1855614.0,882274.0
417,1891401.0,873152.0
418,1892645.0,873312.0
419,1898185.0,886376.0
420,1886830.0,888386.0
421,1891808.0,877611.0
422,1893968.0,887555.0
423,1909509.0,871542.0
424,1894263.0,881606.0
425,1858195.0,872626.0
426,1892597.0,876505.0
427,1889663.0,880410.0
428,1898101.0,891867.0
429,1867367.0,893605.0
430,1864009.0,892521.0
431,1876162.0,899479.0
432,1899449.0,884396.0
433,1884647.0,889999.0
434,1892644.0,873278.0
435,1892018.0,874475.0
436,1889405.0,871780.0
437,1886244.0,877464.0
438,1881603.0,885691.0
439,1907563.0,866859.0
440,1867367.0,893605.0
441,1879179.0,881363.0
442,1879137.0,893548.0
443,1894276.0,884972.0
444,1866905.0,891511.0
445,1886311.0,888418.0
446,1890330.0,889663.0
447,1892159.0,878277.0
448,1890899.0,877492.0
449,1890819.0,884429.0
450,1876037.0,888458.0
451,1882283.0,894701.0
452,1890665.0,883638.0
453,1887770.0,873012.0
454,1888561.0,883645.0
455,1891008.0,876217.0
456,1895848.0,885934.0
457,1884962.0,878679.0
458,1867367.0,893605.0
459,1891112.0,892715.0
460,1893379.0,872987.0
461,1881603.0,885663.0
462,1887102.0,882432.0
463,1897512.0,891697.0
464,1889555.0,893911.0
465,1896643.0,882409.0
466,1887878.0,885890.0
467,1867222.0,892365.0
468,1897370.0,881182.0
469,1890665.0,883638.0
470,1889455.0,884122.0
471,1867036.0,893752.0
472,1889051.0,876511.0
473,1890268.0,887600.0
474,1878038.0,900496.0
475,1890858.0,893065.0
476,1900506.0,872018.0
477,1902124.0,869942.0
478,1890295.0,881086.0
479,1888677.0,887412.0
480,1854795.0,885155.0
481,1890463.0,882846.0
482,1878520.0,874382.0
483,1890024.0,883640.0
484,1888485.0,885963.0
485,1888757.0,892352.0
486,1889476.0,887603.0
487,1884134.0,888426.0
488,1878822.0,903348.0
489,1890927.0,880465.0
490,1907777.0,874275.0
491,1896268.0,891736.0
492,1883934.0,888427.0
493,1886193.0,888358.0
494,1909760.0,876964.0
495,1877016.0,900369.0
496,1889412.0,873503.0
497,1889816.0,879382.0
498,1880332.0,888441.0
499,1885507.0,887192.0
500,1891268.0,885952.0
