,x_coordinate,y_coordinate
0,1884869.0,872815.0
1,1866905.0,891511.0
2,1886903.0,892565.0
5,1889150.0,894695.0
7,1865746.0,891599.0
8,1866905.0,891511.0
9,1866905.0,891511.0
11,1865746.0,891599.0
15,1866905.0,891511.0
19,1866905.0,891511.0
20,1884331.0,860900.0
23,1866905.0,891511.0
32,1866905.0,891511.0
33,1895074.0,886325.0
34,1869639.0,890280.0
36,1892647.0,874055.0
37,1866905.0,891511.0
38,1865746.0,891599.0
39,1869739.0,890270.0
41,1826034.0,884694.0
42,1826034.0,884694.0
43,1867367.0,893605.0
44,1866158.0,834530.0
46,1866905.0,891511.0
47,1866905.0,891511.0
48,1865746.0,891599.0
49,1879216.0,875965.0
50,1915667.0,879048.0
51,1866905.0,891511.0
52,1866905.0,891511.0
54,1894540.0,833394.0
55,1859871.0,840624.0
57,1879489.0,889945.0
58,1866905.0,891511.0
59,1902124.0,869854.0
60,1869739.0,890270.0
61,1906077.0,887216.0
62,1866905.0,891511.0
64,1889435.0,877497.0
65,1894355.0,907024.0
66,1902061.0,862165.0
68,1892408.0,845330.0
69,1883650.0,879087.0
70,1886202.0,891657.0
71,1826034.0,884694.0
73,1881277.0,894379.0
74,1880332.0,888441.0
75,1872020.0,879101.0
76,1889487.0,877124.0
77,1883650.0,879087.0
78,1883650.0,879087.0
79,1882757.0,899184.0
80,1869739.0,890270.0
81,1877770.0,888451.0
82,1893295.0,882776.0
83,1883132.0,881692.0
84,1866905.0,891511.0
85,1867367.0,893605.0
87,1866905.0,891511.0
88,1883596.0,882077.0
89,1865746.0,891599.0
91,1890247.0,883997.0
93,1893206.0,890037.0
94,1882975.0,874636.0
95,1866213.0,893805.0
97,1866905.0,891511.0
99,1866905.0,891511.0
103,1866905.0,891511.0
106,1866905.0,891511.0
112,1866905.0,891511.0
115,1877294.0,888780.0
117,1864104.0,861348.0
118,1907590.0,869321.0
123,1865746.0,891599.0
127,1891018.0,878726.0
128,1866905.0,891511.0
130,1893430.0,885973.0
133,1872119.0,879100.0
135,1866905.0,891511.0
139,1904183.0,875806.0
140,1893430.0,885973.0
141,1913996.0,880609.0
142,1893430.0,885973.0
143,1877665.0,888027.0
148,1865746.0,891599.0
153,1893430.0,885973.0
155,1865746.0,891599.0
156,1866905.0,891511.0
157,1866905.0,891511.0
158,1865746.0,891599.0
159,1866905.0,891511.0
161,1865746.0,891599.0
162,1892715.0,889950.0
164,1892196.0,885949.0
167,1852473.0,875819.0
172,1889401.0,860974.0
173,1866905.0,891511.0
176,1866905.0,891511.0
177,1865746.0,891599.0
181,1877297.0,889998.0
186,1866905.0,891511.0
187,1865746.0,891599.0
189,1893430.0,885973.0
190,1893430.0,885973.0
193,1865746.0,891599.0
195,1866905.0,891511.0
196,1866905.0,891511.0
197,1866905.0,891511.0
200,1866905.0,891511.0
201,1866905.0,891511.0
204,1866905.0,891511.0
206,1866905.0,891511.0
210,1866905.0,891511.0
212,1866905.0,891511.0
214,1866905.0,891511.0
216,1894538.0,900314.0
217,1878981.0,882486.0
221,1901256.0,862221.0
222,1912213.0,870631.0
224,1880519.0,892547.0
225,1866905.0,891511.0
230,1866905.0,891511.0
235,1909675.0,882582.0
241,1826034.0,884694.0
243,1903132.0,827937.0
244,1866905.0,891511.0
245,1902574.0,886252.0
248,1902124.0,862982.0
250,1866905.0,891511.0
251,1866464.0,883060.0
252,1884280.0,860679.0
256,1906906.0,883637.0
258,1878981.0,882486.0
261,1877294.0,888865.0
265,1878981.0,882486.0
267,1866905.0,891511.0
268,1888340.0,887737.0
269,1866905.0,891511.0
270,1888676.0,887180.0
272,1877295.0,889038.0
275,1866905.0,891511.0
276,1896822.0,815465.0
280,1874617.0,887965.0
282,1886288.0,884415.0
283,1866905.0,891511.0
286,1866905.0,891511.0
287,1894840.0,890813.0
288,1896600.0,886578.0
289,1890110.0,886017.0
290,1826034.0,884694.0
291,1887737.0,886818.0
293,1889644.0,883641.0
294,1899779.0,874442.0
295,1866905.0,891511.0
296,1894641.0,882771.0
297,1878546.0,891157.0
298,1892617.0,881794.0
299,1866905.0,891511.0
300,1891786.0,871570.0
301,1897712.0,890253.0
302,1891786.0,871570.0
303,1894840.0,890813.0
304,1892693.0,885852.0
305,1912585.0,873539.0
306,1890588.0,882786.0
307,1879848.0,876481.0
308,1892376.0,877488.0
309,1884391.0,880215.0
310,1874638.0,893477.0
311,1890024.0,883640.0
312,1867367.0,893605.0
313,1866905.0,891511.0
314,1896938.0,888013.0
315,1878327.0,890862.0
316,1897439.0,883452.0
317,1890329.0,889421.0
318,1867367.0,893605.0
319,1866905.0,891511.0
320,1895782.0,868199.0
321,1894973.0,875896.0
322,1866905.0,891511.0
323,1881224.0,881359.0
324,1876407.0,893491.0
325,1866562.0,893915.0
326,1878758.0,882995.0
327,1867036.0,893752.0
328,1867757.0,891698.0
329,1893007.0,877031.0
330,1885443.0,881218.0
